日期,上價,中價,下價,平均價,增減%,交易量(公斤),增減%
085/05/31,20,15,8,12.3,-29,"6,766",24
085/06/01,25,18,8,17.3,41,"5,310",-22
085/06/03,20,13,6,12.5,  -  ,"7,285",  -  
085/06/04,20,13,6,11.5,-8,"8,684",19
085/06/05,20,13,6,11,-4,"9,315",7
085/06/06,18,12,6,10.5,-5,"10,390",12
085/06/07,16,11,6,11.4,9,"8,811",-15
085/06/08,16,11,6,9.1,-20,"11,155",27
085/06/09,17,12,5,8.8,-3,"16,169",45
085/06/11,13,9,5,7.3,  -  ,"15,955",  -  
085/06/12,12,8,4,7.4,1,"14,125",-11
085/06/13,12,8,4,6.5,-12,"13,875",-2
085/06/14,10,7,4,6.9,6,"12,558",-9
085/06/15,10,7,4,6.6,-4,"13,089",4
085/06/16,14,9,4,7,6,"12,740",-3
085/06/17,10,7,4,6.2,-11,"11,329",-11
085/06/18,9,6,3,5.9,-5,"10,301",-9
085/06/19,9,6,3,4.7,-20,"10,464",2
085/06/20,10,7,3,5.6,19,"14,796",41
085/06/23,9,6,3,4.9,  -  ,"13,264",  -  
085/06/24,7,5,2,4.3,-12,"11,960",-10
085/06/25,7,5,3,4.7,9,"11,536",-4
085/06/26,7,5,2.5,4.8,2,"11,700",1
085/06/27,9,6,3,5.9,23,"10,115",-14
085/06/28,10,7,4,5.2,-12,"11,960",18
085/06/29,8,6,3,5.3,2,"12,915",8
085/06/30,10,7,4,5.8,9,"12,700",-2
085/07/01,10,7,4,6.2,7,"10,985",-14
085/07/03,10,7,4,6.2,  -  ,"9,905",  -  
085/07/04,10,7,4,6.3,2,"9,035",-9
085/07/05,10,7,4,6.1,-3,"9,172",2
085/07/06,11,7.5,4,7.5,23,"9,800",7
085/07/07,12,8,4,7,-7,"11,135",14
085/07/08,12,8,4,6.8,-3,"10,010",-10
085/07/09,12,8,4,7.8,15,"10,150",1
085/07/11,12,8,4,6.4,  -  ,"13,035",  -  
085/07/12,10,7,4,6.1,-5,"12,916",-1
085/07/13,10,7,4,6.2,2,"11,860",-8
085/07/14,13,9,5,7.8,26,"8,695",-27
085/07/15,15,10,5,10.4,33,"6,815",-22
085/07/16,15,10,5,10.9,5,"7,835",15
085/07/17,16,12,7,11.8,8,"9,635",23
085/07/19,12,8,4,8.9,  -  ,"14,815",  -  
085/07/20,10,7,4,6.7,-25,"12,951",-13
085/07/21,12,9,5,8,19,"17,422",35
085/07/22,10,7.5,5,7.6,-5,"8,840",-49
085/07/23,12,8,4,7.5,-1,"9,040",2
085/07/24,12,9,5,7.4,-1,"14,250",58
085/07/26,18,13,8,12.3,  -  ,"16,093",  -  
085/07/27,18,14,10,11.2,-9,"15,750",-2
085/07/28,28,20,10,16.7,49,"8,650",-45
085/07/29,24,17,10,15.5,-7,"10,031",16
085/07/30,22,17,12,16.4,6,"12,065",20
085/07/31,28,22,15,22.3,36,"13,065",8
085/08/02,90,70,45,80.2,  -  ,740,  -  
085/08/03,70,50,20,44.1,-45,"4,293",480
085/08/04,70,45,20,42.7,-3,"4,671",9
085/08/05,75,50,25,45.2,6,"5,314",14
085/08/06,65,45,25,43.7,-3,"5,530",4
085/08/07,65,45,25,38.4,-12,"7,295",32
085/08/08,60,45,25,44.9,17,"9,083",25
085/08/10,70,50,25,44.1,  -  ,"10,143",  -  
085/08/11,75,55,25,50,13,"9,179",-10
085/08/12,70,48,25,41.5,-17,"11,206",22
085/08/13,55,40,20,34.2,-18,"14,878",33
085/08/14,40,28,15,26,-24,"15,277",3
085/08/15,35,28,18,25.7,-1,"18,998",24
085/08/17,30,25,15,22,  -  ,"21,761",  -  
085/08/18,30,23,15,22.3,1,"17,770",-18
085/08/19,28,22,15,20.3,-9,"18,644",5
085/08/20,30,24,15,22.5,11,"15,211",-18
085/08/21,30,24,15,21.2,-6,"16,756",10
085/08/22,28,22,15,21.9,3,"18,369",10
085/08/24,28,22,15,19.8,  -  ,"18,141",  -  
085/08/25,30,23,15,21.5,9,"17,864",-2
