日期,上價,中價,下價,平均價,增減%,交易量(公斤),增減%
090/12/25,38.3,31.5,12.4,29,  -  ,"2,683",  -  
090/12/26,41.8,31.7,15.5,30.5,5,"2,597",-3
090/12/27,35,28.7,16.6,27.5,-10,"2,125",-18
090/12/28,42.2,38.2,25.7,36.5,33,"1,506",-29
090/12/29,48.5,43.1,21.4,39.8,9,"1,650",10
090/12/30,52.8,46.2,33.9,45,13,"1,906",16
091/01/01,58.3,51,32,48.7,8,"1,934",1
091/01/02,47.7,39.6,26.4,38.6,-21,"1,854",-4
091/01/03,45.8,35.8,25,35.7,-8,"1,792",-3
091/01/04,44.9,41.2,23.4,38.4,8,"1,499",-16
091/01/05,54.8,50.6,45.2,50.4,31,"1,198",-20
091/01/06,60.5,51.3,31,49.1,-3,"1,875",57
091/01/08,48.1,38.9,25.3,38,  -  ,"2,079",  -  
091/01/09,52.7,40.1,19.4,38.4,1,"1,290",-38
091/01/10,58.7,42.3,20.4,41.2,7,"1,595",24
091/01/11,49.1,42.6,33,42,2,"1,625",2
091/01/12,47.5,41.7,31.4,40.8,-3,"1,869",15
091/01/13,48.3,37.7,26,37.4,-8,"2,217",19
091/01/14,46.5,39.5,30.9,39.2,5,"2,065",-7
091/01/16,40.2,33.2,21.1,32.2,  -  ,"2,825",  -  
091/01/17,31.2,22.7,11.3,22.1,-31,"3,926",39
091/01/18,25.8,21,12.5,20.2,-9,"3,675",-6
091/01/19,29.1,18.1,8.6,18.4,-9,"4,853",32
091/01/20,28.2,19.1,8.5,18.8,2,"4,531",-7
091/01/22,27.3,21.9,14.5,21.5,14,"3,450",-24
091/01/23,30.6,21.8,14,22,2,"3,030",-12
091/01/24,33,24.3,14,24,9,"2,625",-13
091/01/25,34.4,25.6,11.3,24.5,2,"2,745",5
091/01/26,40,26.5,11.2,26.1,7,"2,290",-17
091/01/27,36.1,25.3,9.4,24.3,-7,"2,567",12
091/01/28,38.7,32.7,23.7,32.1,32,"2,779",8
091/01/30,33.8,27.5,17.5,26.7,-17,"3,125",12
091/01/31,35.2,28.9,16.8,27.7,4,"2,700",-14
091/02/01,39.1,31.8,21.9,31.3,13,"2,100",-22
091/02/02,41.1,33.2,23.8,32.9,5,"2,131",1
091/02/03,38.6,33.2,25.3,32.7,-1,"2,234",5
091/02/05,36.7,30.9,24.6,30.8,-6,"2,725",22
091/02/06,35.8,27.5,20.8,27.8,-10,"3,119",14
091/02/07,36.8,27.4,19.6,27.7,0,"2,882",-8
091/02/08,37.8,25.6,16.1,26.1,-6,"2,700",-6
091/02/09,32.4,22.5,10.3,22,-16,"2,820",4
091/02/10,30.4,20.4,12.6,20.8,-5,"3,164",12
091/02/11,16.3,11.1,6,11.1,-47,"3,129",-1
091/02/17,32.2,18.2,8.3,19,71,"2,813",-10
091/02/18,32.9,22.5,9.9,22,16,"3,792",35
091/02/19,31.4,21.4,10.9,21.3,-3,"3,210",-15
091/02/20,30.5,22.1,13.1,22,3,"2,562",-20
091/02/21,28.9,22.4,14.2,22.1,0,"2,910",14
091/02/22,30,23.5,15.3,23.2,5,"3,070",5
091/02/23,35.5,28.3,21.5,28.3,22,"3,300",7
091/02/24,34.5,29.3,19.4,28.4,0,"3,280",-1
091/02/25,34.2,28.7,23.3,28.7,1,"3,356",2
091/02/26,39.5,31,23,31.1,8,"4,470",33
091/03/01,32,19.8,10.5,20.4,  -  ,"5,653",  -  
091/03/02,33,22.3,12.4,22.5,10,"5,390",-5
091/03/03,30.7,21.6,11.5,21.4,-5,"6,615",23
091/03/05,28.1,20.5,13,20.5,-4,"5,980",-10
091/03/06,30.3,20.6,10.6,20.5,0,"5,150",-14
091/03/07,28.5,19.7,10.5,19.6,-4,"4,777",-7
091/03/08,29.7,19.4,9.6,19.5,-1,"4,113",-14
091/03/09,30.4,24.6,15.6,24,23,"4,245",3
091/03/10,31.7,26.5,18,25.8,8,"4,267",1
091/03/12,37.8,28.3,20.5,28.7,  -  ,"3,645",  -  
091/03/13,36,28,17.4,27.5,-4,"3,729",2
091/03/14,35.2,26.2,14.5,25.7,-7,"3,830",3
091/03/15,33.2,26.2,17.8,25.9,1,"3,741",-2
091/03/16,34.5,27.3,17.2,26.7,3,"3,705",-1
091/03/17,29.3,25.2,13.8,23.7,-11,"6,170",67
091/03/19,29.8,23.6,16.4,23.4,  -  ,"6,506",  -  
091/03/20,30.4,24.5,18.5,24.5,5,"6,410",-1
091/03/21,29.1,24.2,17.9,23.9,-2,"6,474",1
091/03/22,29,22.2,18.3,22.7,-5,"6,130",-5
091/03/23,30.8,23.2,12.8,22.6,0,"8,556",40
091/03/24,34.4,27,20.2,27.1,20,"5,326",-38
091/03/26,34.1,25.9,20.6,26.5,-2,"6,571",23
091/03/27,34.1,25.2,19.8,25.9,-2,"6,171",-6
091/03/28,33,24.3,18.4,24.9,-4,"6,262",1
091/03/29,29.6,23.9,16.4,23.5,-6,"6,660",6
091/03/30,34.5,22.7,13.6,23.3,-1,"10,130",52
091/03/31,28.8,18,11.1,18.8,-19,"11,167",10
091/04/01,24.9,18.8,11.9,18.6,-1,"9,115",-18
091/04/02,24.9,17.7,11.9,17.9,-4,"8,166",-10
091/04/03,22.2,16.7,12.7,17,-5,"10,827",33
091/04/04,29.2,20.6,15.6,21.3,25,"11,135",3
091/04/07,30.5,20.9,15,21.6,  -  ,"10,719",  -  
091/04/08,29.6,20.9,13,21.1,-2,"8,913",-17
091/04/09,30.7,20.7,14.1,21.3,1,"7,488",-16
091/04/10,26.3,19.4,14,19.7,-8,"9,284",24
091/04/11,24.7,18.5,13.9,18.8,-5,"9,175",-1
091/04/12,23.5,18.2,13.2,18.3,-3,"8,493",-7
091/04/13,25.6,20,14.9,20.1,10,"9,046",7
091/04/14,27.7,21.9,15.4,21.8,8,"10,068",11
091/04/16,25.6,19.4,14.7,19.7,  -  ,"13,202",  -  
091/04/17,23.3,18,12.6,18,-9,"11,977",-9
091/04/18,19.8,14.5,10.1,14.7,-18,"13,647",14
091/04/19,18,12.9,6.8,12.7,-14,"14,757",8
091/04/20,18.3,13,6.7,12.8,1,"14,190",-4
091/04/21,20.4,14.8,7.9,14.5,13,"17,361",22
091/04/23,16,10.3,4.5,10.3,-29,"19,075",10
091/04/24,14,8.3,4.2,8.6,-17,"13,517",-29
091/04/25,11.7,6.8,3.7,7.2,-16,"12,900",-5
091/04/26,10.5,6.9,4.3,7.1,-1,"11,597",-10
091/04/27,16.5,10.6,6.8,11,55,"9,170",-21
091/04/28,18.9,12.6,7.8,12.9,17,"9,239",1
091/04/30,15.5,10.9,6.8,11,-15,"13,800",49
091/05/01,13.7,9.6,5.2,9.5,-14,"15,945",16
091/05/02,13.1,7.8,4.2,8.1,-15,"13,165",-17
091/05/03,12.6,7.6,4.7,8.1,0,"12,866",-2
091/05/04,13.7,7.3,5,8.1,0,"13,626",6
091/05/05,15.1,8.4,5.3,9.1,12,"14,527",7
091/05/07,12.3,6.8,3.7,7.3,  -  ,"16,606",  -  
091/05/08,11.2,5.6,2.7,6.1,-16,"14,495",-13
091/05/09,11.8,6.2,3.4,6.7,10,"12,080",-17
091/05/10,11.4,6.3,2.9,6.6,-1,"8,045",-33
091/05/11,13.5,7.6,4.6,8.2,24,"12,585",56
091/05/12,12.5,7.9,4.6,8.2,0,"13,860",10
091/05/14,12.8,7.6,3.7,7.9,-4,"12,553",-9
091/05/15,12.4,7.2,4.1,7.6,-4,"10,845",-14
091/05/16,12.3,7.1,3.5,7.4,-3,"9,815",-9
091/05/17,12.3,6.7,3.1,7.1,-4,"11,721",19
091/05/18,15.5,8.9,6.5,9.8,38,"11,427",-3
091/05/19,13.7,8.7,5.8,9.1,-7,"13,386",17
091/05/21,13.8,7.4,3.9,8,-12,"11,970",-11
091/05/22,14.3,8.2,5.4,8.9,11,"8,961",-25
091/05/23,21.1,14.9,8.5,14.9,67,"6,642",-26
091/05/24,21.2,15.1,10.7,15.4,3,"8,122",22
091/05/25,22.2,15.8,8.3,15.6,1,"9,854",21
091/05/26,27.7,21.3,12.1,20.8,33,"8,313",-16
091/05/28,30.2,22,12.6,21.8,  -  ,"7,165",  -  
091/05/29,28.8,21.6,16.2,22,1,"6,145",-14
091/05/30,28.6,24.2,18.3,23.9,9,"5,630",-8
091/05/31,30,23.5,17.4,23.6,-1,"5,380",-4
091/06/01,30.4,23.9,17.9,24,2,"9,880",84
091/06/02,27.3,18.7,11.2,18.9,-21,"14,472",46
091/06/04,22.6,13.7,7.5,14.2,  -  ,"18,862",  -  
091/06/05,18.6,11.9,6,12,-15,"15,555",-18
091/06/06,20.5,15.7,10.1,15.5,29,"13,392",-14
091/06/07,22.7,16.5,12.6,17,10,"11,499",-14
091/06/08,24,17.4,10.4,17.3,2,"11,559",1
091/06/09,26.6,20.2,13.9,20.2,17,"11,115",-4
091/06/11,26.2,19.2,13.1,19.4,-4,"12,818",15
091/06/12,24.6,17.2,9.6,17.2,-11,"12,560",-2
091/06/13,22,13,6.3,13.4,-22,"15,972",27
091/06/14,14.6,7.4,2.5,7.9,-41,"22,627",42
091/06/15,12.7,6.7,2.3,7,-11,"23,940",6
091/06/18,11.5,6.3,2.9,6.6,  -  ,"26,345",  -  
091/06/19,10.5,5.6,2.6,5.9,-11,"21,762",-17
091/06/20,11.7,7.3,4.7,7.7,31,"15,925",-27
091/06/21,14.3,8.5,5.2,9,17,"13,725",-14
091/06/22,15.7,9.9,6.5,10.4,16,"12,795",-7
091/06/23,16.6,11.8,6.9,11.8,13,"14,935",17
091/06/25,16.8,10.6,5.9,10.9,  -  ,"14,258",  -  
091/06/26,15.1,9,4.7,9.3,-15,"17,350",22
091/06/27,12.4,7,3.4,7.3,-22,"20,375",17
091/06/28,11.2,6.1,3.2,6.5,-11,"20,405",0
091/06/29,11.3,6.2,4.2,6.8,5,"20,070",-2
091/06/30,13.7,8.8,5.1,9,32,"17,070",-15
091/07/02,13.3,8.8,5.1,9,  -  ,"18,178",  -  
091/07/03,14.2,9.4,5.6,9.6,7,"15,785",-13
091/07/04,17.8,12,7.4,12.3,28,"12,280",-22
091/07/05,17.5,13.1,7,12.7,3,"11,217",-9
091/07/06,22.9,16.1,9.9,16.2,28,"10,310",-8
091/07/07,24.1,18.3,12.5,18.3,13,"12,763",24
091/07/09,21.1,14.6,8,14.6,  -  ,"16,338",  -  
091/07/10,23.4,15.1,9.1,15.5,6,"13,660",-16
091/07/11,27,19.4,13.1,19.7,27,"11,750",-14
091/07/12,29.9,17.1,7.9,17.9,-9,"13,020",11
091/07/13,33.3,22.7,8.6,22,23,"11,030",-15
091/07/14,46.8,37.7,24.5,36.9,68,"8,611",-22
091/07/16,47.2,38.9,28.1,38.4,4,"10,023",16
091/07/17,48,40.5,31.3,40.2,5,"9,230",-8
091/07/18,47.1,39.1,32.8,39.5,-2,"9,651",5
091/07/19,42.9,33,25.8,33.6,-15,"13,108",36
091/07/20,42.9,31.4,20.8,31.6,-6,"15,470",18
091/07/21,40.1,30.7,22.6,31,-2,"16,230",5
091/07/23,37.4,29.7,22.1,29.7,  -  ,"17,238",  -  
091/07/24,37,29.5,21.8,29.4,-1,"16,299",-5
091/07/25,38.4,30.7,23.6,30.8,5,"13,639",-16
091/07/26,34,27.4,18.5,26.9,-13,"15,124",11
091/07/27,33,27.1,19.1,26.7,-1,"14,638",-3
091/07/28,31.4,25.4,15.9,24.7,-7,"17,463",19
091/07/30,25,16.4,8.6,16.5,  -  ,"21,211",  -  
091/07/31,22.8,12.7,6.3,13.4,-19,"20,246",-5
091/08/01,18.5,11.8,5.7,11.9,-11,"19,035",-6
091/08/02,19.1,12.9,7,12.9,8,"15,720",-17
091/08/03,19.4,13.7,6.1,13.3,3,"17,084",9
091/08/04,22.2,15.1,8.5,15.2,14,"16,392",-4
091/08/06,26.2,18.5,13,18.9,  -  ,"13,982",  -  
091/08/07,29,20.9,13.6,21,11,"13,794",-1
091/08/08,30.8,22.5,13.4,22.4,7,"12,036",-13
091/08/09,33.6,25.9,17.1,25.7,15,"9,179",-24
091/08/10,37.5,31.2,21.8,30.6,19,"9,080",-1
091/08/11,40.9,31.8,21.3,31.5,3,"11,081",22
091/08/13,36.1,28.9,18.7,28.3,  -  ,"14,675",  -  
091/08/14,36.4,28,20,28.1,-1,"11,623",-21
091/08/15,34.7,28.5,20.7,28.2,0,"10,911",-6
091/08/16,30.8,24,16.3,23.8,-16,"14,336",31
091/08/17,28.2,20.6,12.5,20.5,-14,"16,594",16
091/08/18,25.4,17.9,10.2,17.8,-13,"18,230",10
091/08/20,23.6,13.9,6.1,14.3,  -  ,"18,589",  -  
091/08/21,20.6,12.9,5.3,12.9,-10,"19,584",5
091/08/22,18.6,13.2,7.8,13.2,2,"18,063",-8
091/08/23,20.9,16.3,11,16.2,23,"19,430",8
091/08/26,14.9,9.5,4,9.5,  -  ,"22,332",  -  
091/08/27,11.4,6.7,2.5,6.8,-28,"20,480",-8
091/08/28,10.5,6.6,3.9,6.8,0,"19,184",-6
091/08/29,10.9,7.1,4.1,7.3,7,"18,770",-2
091/08/30,10.3,6.4,3.1,6.5,-11,"19,855",6
091/08/31,11.3,7.4,4,7.5,15,"18,255",-8
091/09/01,11.4,7.3,4.6,7.6,1,"19,505",7
091/09/03,11.6,7.4,4.6,7.7,  -  ,"20,594",  -  
091/09/04,12.9,8.3,5.5,8.6,12,"21,943",7
091/09/05,29.4,17.5,9.4,18.2,112,"19,535",-11
091/09/06,29.8,17.1,7.7,17.8,-2,"19,297",-1
091/09/07,26,15,5.1,15.2,-15,"17,506",-9
091/09/08,26.7,19.1,8.3,18.4,21,"14,015",-20
091/09/10,18.7,12.3,5,12.1,  -  ,"20,042",  -  
091/09/11,12,8,4.2,8,-34,"16,834",-16
091/09/12,12.5,8.4,4.7,8.5,6,"13,381",-21
091/09/13,12.8,8,4.8,8.3,-2,"12,453",-7
091/09/14,15.5,11,6.3,10.9,31,"11,494",-8
091/09/15,21.2,16.3,8.5,15.7,44,"11,617",1
091/09/17,21.5,16.2,9.7,16,  -  ,"10,410",  -  
091/09/18,20.1,15.1,9.9,15.1,-6,"12,234",18
091/09/19,18.4,14.6,8.7,14.2,-6,"12,187",0
091/09/20,16.8,13.6,8.8,13.3,-6,"12,305",1
091/09/21,19.4,13.9,9.1,14,5,"16,215",32
091/09/24,12,7.7,4.2,7.9,-44,"25,282",56
091/09/25,11.4,7.7,4.2,7.8,-1,"19,515",-23
091/09/26,11.9,7.8,4.2,7.9,1,"15,530",-20
091/09/27,13.8,9.5,5.7,9.6,22,"13,085",-16
091/09/28,16.8,11.1,6.8,11.4,19,"11,830",-10
091/09/29,20.2,14.5,8,14.3,25,"11,854",0
091/10/01,21.1,15.3,10.5,15.5,  -  ,"11,297",  -  
091/10/02,21.2,16.9,11.3,16.6,7,"10,290",-9
091/10/03,19.5,16,11.3,15.7,-5,"11,100",8
091/10/04,20.7,15.4,11.3,15.6,-1,"11,838",7
091/10/05,19.2,15.5,11.7,15.5,-1,"12,881",9
091/10/06,21.1,16,11.7,16.2,5,"13,183",2
091/10/08,23.5,17.1,11.8,17.3,  -  ,"12,631",  -  
091/10/09,27.5,20.2,14.6,20.5,18,"9,543",-24
091/10/10,32.1,24.5,19,24.9,21,"8,298",-13
091/10/11,30.5,25,18.5,24.8,0,"10,704",29
091/10/12,29.3,23.2,18,23.4,-6,"11,014",3
091/10/13,27.8,21.2,14.5,21.2,-9,"13,955",27
091/10/15,20.1,15.1,8.1,14.7,  -  ,"15,735",  -  
091/10/16,16.4,10.6,4.3,10.5,-29,"18,039",15
091/10/17,14.8,9.2,4.5,9.4,-10,"15,495",-14
091/10/18,12.9,8.9,5.2,9,-4,"13,330",-14
091/10/19,14.1,9.7,5.5,9.8,9,"13,628",2
091/10/20,18.6,13,7.9,13.1,34,"12,146",-11
091/10/22,19.4,12.4,6.8,12.7,-3,"13,359",10
091/10/23,18.8,12.7,6.2,12.6,-1,"10,637",-20
091/10/24,21.2,14.9,10.2,15.2,21,"10,105",-5
091/10/25,23.5,18,12.6,18,18,"6,960",-31
091/10/26,26.3,18.2,12.7,18.7,4,"9,865",42
091/10/27,23,17.2,13.8,17.7,-5,"13,571",38
091/10/29,21.1,16.5,11.7,16.4,-7,"12,902",-5
091/10/30,18.3,12.8,7.9,12.9,-21,"13,926",8
091/10/31,17.2,12.5,8,12.5,-3,"11,755",-16
091/11/01,16.3,12.5,7.7,12.3,-2,"11,416",-3
091/11/02,17.4,12.6,8.4,12.7,3,"12,305",8
091/11/03,30.2,20.3,13.1,20.8,64,"13,008",6
091/11/05,29.5,22.4,16.2,22.6,  -  ,"6,694",  -  
091/11/06,30.2,23.7,17.3,23.7,5,"6,655",-1
091/11/07,32.5,24.6,18.2,24.9,5,"5,596",-16
091/11/08,34.1,24.3,18.2,25.1,1,"6,333",13
091/11/09,32.7,24.7,17.1,24.8,-1,"6,529",3
091/11/10,35.9,25.6,19,26.3,6,"7,127",9
091/11/12,31.6,21,8.6,20.7,  -  ,"8,820",  -  
091/11/13,26.7,17.6,7.1,17.3,-16,"7,609",-14
091/11/14,30,24.4,9.4,22.5,30,"11,729",54
091/11/15,23.6,14.7,5.6,14.7,-35,"6,947",-41
091/11/16,24.5,16,8.2,16.1,10,"6,936",0
091/11/17,25.3,17,9.8,17.2,7,"7,223",4
091/11/19,21.5,14.7,8.5,14.8,-14,"9,236",28
091/11/20,19.7,11.9,6,12.3,-17,"9,102",-1
091/11/21,17.9,9.6,3.5,10,-19,"8,532",-6
091/11/22,19.2,10.9,5.4,11.5,15,"6,711",-21
091/11/23,20.5,14.4,7.5,14.3,24,"6,768",1
091/11/24,23.8,16.3,8,16.1,13,"7,825",16
091/11/26,23.9,17.7,12.4,17.9,  -  ,"6,139",  -  
091/11/27,25,18.8,13.9,19.1,7,"5,026",-18
091/11/28,32,22.8,14.9,23.1,21,"3,997",-20
091/11/29,27,22.4,16.5,22.2,-4,"4,682",17
091/11/30,32,23.9,16.4,24,8,"4,515",-4
091/12/01,36.5,27.9,21.4,28.3,18,"4,594",2
091/12/03,30.1,23.5,15.9,23.3,  -  ,"7,079",  -  
091/12/04,25.5,18.9,12.1,18.7,-20,"6,574",-7
091/12/05,20.3,13.8,7.3,13.8,-26,"6,687",2
091/12/06,21.5,13.8,9.4,14.4,4,"6,131",-8
091/12/07,28.4,16.1,9.2,17.2,19,"6,600",8
091/12/08,29.2,18.9,9.3,19,10,"8,267",25
091/12/10,29.2,21.2,11.4,20.8,9,"6,471",-22
091/12/11,29.4,22.1,14.2,22,6,"5,053",-22
091/12/12,33.2,23.8,14.3,23.8,8,"4,348",-14
091/12/13,38.9,29.8,21.7,30,26,"3,382",-22
091/12/14,41.8,32.7,23.9,32.8,9,"4,002",18
091/12/15,50.3,41.1,30,40.7,24,"3,945",-1
091/12/17,47.2,37.7,29.3,37.9,  -  ,"3,436",  -  
091/12/18,42.1,35.9,25.4,35,-8,"3,461",1
091/12/19,40.8,34,23,33.2,-5,"3,625",5
091/12/20,41.5,35,23.4,34,2,"3,233",-11
091/12/21,39.1,31.3,18.6,30.4,-11,"4,559",41
091/12/22,35.6,27.8,15.6,26.9,-12,"5,589",23
091/12/24,34.4,23.8,13.2,23.8,  -  ,"6,188",  -  
091/12/25,34.2,25.3,14.1,24.8,4,"4,735",-23
091/12/26,34.5,27.5,14.2,26.2,6,"4,082",-14
091/12/27,37.4,30.8,18.1,29.6,13,"3,617",-11
091/12/28,44.7,38.7,26,37.4,26,"2,911",-20
091/12/29,47.4,39.2,28.7,38.7,3,"3,668",26
091/12/31,51.7,43.5,31.6,42.8,11,"3,203",-13
092/01/01,44.7,38.9,32.1,38.7,-10,"3,121",-3
092/01/02,53.1,41.4,31.7,41.8,8,"2,189",-30
092/01/03,60.1,48.2,38,48.5,16,"1,933",-12
092/01/04,59.2,52.2,33.9,50,3,"2,127",10
092/01/05,57.3,46.6,33.2,46.1,-8,"2,811",32
092/01/07,47.9,39.4,23.1,37.9,-18,"2,727",-3
092/01/08,61.4,54.3,37.6,52.4,38,"1,202",-56
092/01/09,62.2,51.4,32.9,49.9,-5,"1,803",50
092/01/10,65.2,55.1,42.4,54.5,9,"1,434",-20
092/01/11,60.4,49.8,34.8,48.9,-10,"2,683",87
092/01/12,54.3,41.8,26.6,41.2,-16,"3,384",26
092/01/14,52.7,44.5,32.8,43.8,6,"2,924",-14
092/01/15,48.3,39.7,25.2,38.5,-12,"2,868",-2
092/01/16,47.7,37.5,22.1,36.4,-5,"2,915",2
092/01/17,42.3,30.1,16.3,29.8,-18,"3,216",10
092/01/18,42.5,31.7,19.9,31.5,6,"3,333",4
092/01/19,38.3,29.8,18.5,29.2,-7,"3,794",14
092/01/21,34.8,27,15.3,26.2,-10,"4,690",24
092/01/22,31.9,22.5,10.2,21.9,-16,"4,009",-15
092/01/23,30.4,21.5,11.8,21.4,-2,"3,615",-10
092/01/24,29.3,21.3,13.6,21.4,0,"3,420",-5
092/01/25,30.5,23.9,13.8,23.2,8,"3,465",1
092/01/26,33.3,22.8,13.6,23.1,0,"3,509",1
092/01/27,32.3,25.9,14.3,24.9,8,"1,965",-44
092/01/28,27.2,24.5,14.1,25.6,3,"3,136",60
092/01/29,44.1,26.2,17.6,25.9,1,"3,090",-1
092/01/30,54.4,40.5,29.5,41.1,59,"3,036",-2
092/01/31,55.5,42.4,23.8,41.3,0,"2,188",-28
092/02/06,37.5,26.5,15.5,26.5,-36,"3,602",65
092/02/07,33.6,26.9,17.2,26.3,-1,"3,696",3
092/02/08,47.4,36.8,21.5,35.8,36,"2,895",-22
092/02/09,48.8,41,21.2,38.6,8,"3,624",25
092/02/11,38.9,31,19.6,29.1,-25,"3,793",5
092/02/12,38,28.3,15.2,26.3,-10,"2,989",-21
092/02/13,34.2,26.9,20.4,25.1,-5,"3,449",15
092/02/14,34.4,23.6,14.4,24.3,-3,"3,484",1
092/02/15,43.5,34.3,22.5,33.8,39,"3,568",2
092/02/18,29.8,21.7,13,21.6,-36,"5,745",61
092/02/19,24.9,18.1,10.8,17.9,-17,"4,980",-13
092/02/20,26.6,15.9,10.6,14.8,-17,"4,670",-6
092/02/21,22.3,14.8,8.6,15,1,"3,107",-33
092/02/22,30.4,20,10.5,20.1,34,"3,277",5
092/02/23,27.6,21.5,12.5,20.9,4,"4,661",42
092/02/25,25.8,19.6,11.6,19.2,-8,"4,534",-3
092/02/26,25.7,19.4,13.7,18.2,-5,"3,044",-33
092/02/27,25.8,20.3,13.6,20,10,"2,872",-6
092/02/28,27.7,20.8,14,20.8,4,"3,440",20
092/03/01,25.1,20.9,13.4,20.2,-3,"4,440",29
092/03/02,26.1,21.4,13.4,20.7,2,"5,097",15
092/03/04,22.1,17.5,12.2,17.1,-17,"6,763",33
092/03/05,21.8,16.2,10.8,16.3,-5,"5,355",-21
092/03/06,21.2,17.7,13.5,17.5,7,"4,855",-9
092/03/07,22.8,17.9,12.4,17.8,2,"4,283",-12
092/03/08,24.7,17.5,11.2,17.7,-1,"6,269",46
092/03/09,26.6,19.6,10.4,19.2,8,"6,148",-2
092/03/11,31,26.2,18.1,25.5,33,"4,060",-34
092/03/12,34.4,29.8,18.9,28.5,12,"3,254",-20
092/03/13,36.6,31.8,22.1,30.8,8,"2,874",-12
092/03/14,38.5,30.6,17,32.3,5,"5,642",96
092/03/15,42.2,34.6,27.1,34.6,7,"3,381",-40
092/03/16,37.4,30.6,21.8,30.2,-13,"4,777",41
092/03/18,31.8,24.8,16,24.4,-19,"6,881",44
092/03/19,29.3,21.5,11,19.1,-22,"7,520",9
092/03/20,21.4,14.8,8.5,14.9,-22,"6,691",-11
092/03/21,24.5,18.1,10.6,17.1,15,"5,824",-13
092/03/22,34.4,22.7,14.8,23.4,37,"5,069",-13
092/03/23,31.3,24.4,17.2,24.4,4,"6,340",25
092/03/25,32.4,27.1,18.9,26.5,9,"4,923",-22
092/03/26,31.7,25.2,17,24.9,-6,"5,361",9
092/03/27,29.9,22.5,12.7,22,-12,"6,635",24
092/03/28,31.3,23.5,16.3,23.6,7,"6,024",-9
092/03/29,30.9,23.4,16.4,23.5,0,"6,304",5
092/03/30,31.8,23.7,17.3,24.1,3,"7,100",13
092/04/01,24.2,18,11.7,18.1,-25,"9,745",37
092/04/02,18.6,13.6,8.1,13.9,-23,"10,935",12
092/04/03,14.7,10.3,6,11,-21,"10,587",-3
092/04/04,14,9.2,4.6,9.6,-13,"12,657",20
092/04/05,24.9,13.7,7.6,14.7,53,"11,955",-6
092/04/08,20.3,13.1,9.2,13.8,-6,"12,499",5
092/04/09,26.1,17.7,9.6,17.8,29,"7,761",-38
092/04/10,27.7,18.2,11.6,18.8,6,"8,647",11
092/04/11,26.3,17.9,10.7,18.1,-4,"9,826",14
092/04/12,29.9,19.9,12.1,20.4,13,"9,700",-1
092/04/13,33.2,22.7,11.7,22.6,11,"9,693",0
092/04/15,30.5,21.5,12.4,21.5,-5,"12,167",26
092/04/16,28.8,21.6,11.9,21.1,-2,"9,729",-20
092/04/17,30.1,20.7,13.5,21.2,0,"9,710",0
092/04/18,27.7,21,13.9,20.9,-1,"9,608",-1
092/04/19,32.1,20.9,13.5,21.7,4,"11,910",24
092/04/20,24.7,18.9,11.2,18.5,-15,"13,795",16
092/04/22,24.7,19,13.7,19.1,3,"12,301",-11
092/04/23,25.3,18.6,13.1,18.8,-2,"12,330",0
092/04/24,23.8,16.5,9.6,16.6,-12,"11,848",-4
092/04/25,20.1,14.1,8.3,14.1,-15,"10,605",-10
092/04/26,22.1,16.7,10.8,16.6,18,"10,589",0
092/04/27,21.4,16.2,9.2,15.9,-4,"13,862",31
092/04/29,18.8,14,9.3,14,-12,"14,552",5
092/04/30,18.5,12.1,6.2,12.2,-13,"13,536",-7
092/05/01,19,12.3,6.5,12.5,2,"13,575",0
092/05/02,15.5,9.9,5.4,10.1,-19,"12,987",-4
092/05/03,16,11.9,6.5,11.6,15,"14,304",10
092/05/04,15.8,11.4,6.9,11.3,-3,"17,442",22
092/05/06,11.4,7.8,4.6,7.9,-30,"24,063",38
092/05/07,10.5,6.2,2.9,6.4,-19,"22,866",-5
092/05/08,9.6,4.8,2.7,5.3,-17,"18,859",-18
092/05/09,9.3,5.1,2.6,5.4,2,"18,558",-2
092/05/10,10.9,6.6,3.9,6.9,28,"17,234",-7
092/05/11,12.2,7.6,4.9,8,16,"17,360",1
092/05/13,11.6,7.3,4.2,7.5,-6,"16,018",-8
092/05/14,10.8,7.3,3.7,7.3,-3,"14,806",-8
092/05/15,10.8,7.1,3.9,7.2,-1,"13,786",-7
092/05/16,9.2,7,3.3,6.7,-7,"14,566",6
092/05/17,10.5,6,3.4,6.4,-4,"17,052",17
092/05/18,11.8,7.7,4.2,7.8,22,"20,446",20
092/05/20,11.9,7.8,4,7.9,1,"15,500",-24
092/05/21,12.2,8.1,4.3,8.2,4,"15,447",0
092/05/22,17.6,10.4,5.3,10.8,32,"12,447",-19
092/05/23,18.6,12.7,6.8,12.7,18,"11,440",-8
092/05/24,22.6,16.3,8,15.9,25,"11,358",-1
092/05/25,23.1,17.8,9.1,17.1,8,"12,975",14
092/05/27,20.5,16.6,8.2,15.7,-8,"13,493",4
092/05/28,21.4,15,9,15.1,-4,"12,046",-11
092/05/29,23.6,16.9,11.2,17.1,13,"10,973",-9
092/05/30,20.5,14.8,8.9,14.7,-14,"12,765",16
092/05/31,21.3,13.6,6.3,13.7,-7,"13,819",8
092/06/01,18.7,11.4,5.4,11.6,-15,"16,073",16
092/06/02,15.5,9.7,4.9,9.9,-15,"13,976",-13
092/06/03,15.6,7.4,3.3,8.2,-17,"14,857",6
092/06/04,24.7,12.1,5.5,13.3,62,"16,258",9
092/06/07,16.3,10.1,4.3,10.2,-23,"13,035",-20
092/06/08,20,11.2,4.6,11.7,15,"10,241",-21
