
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","2.0","T","0.0","5.9","56.1","14.7","0.2","0.0","0.0","12.5","0.0","0.0"
"02","5.7","0.0","0.0","0.1","11.5","0.0","98.0","0.0","0.0","0.0","0.0","0.0"
"03","6.4","0.0","8.5","0.9","1.6","2.5","40.5","0.0","0.0","0.0","0.0","0.0"
"04","0.0","T","0.0","T","0.0","3.4","T","0.0","12.2","0.0","0.0","0.3"
"05","3.5","0.1","0.9","T","0.6","1.1","0.0","2.4","38.9","0.0","0.4","42.0"
"06","4.5","0.0","10.5","0.0","14.5","0.0","0.0","0.0","11.5","0.0","0.0","49.0"
"07","0.0","0.0","26.4","0.0","6.8","0.0","0.0","10.1","T","0.0","0.0","5.0"
"08","T","0.0","17.8","0.0","1.0","0.0","0.0","27.5","0.0","2.7","0.0","0.0"
"09","0.0","0.3","43.5","0.0","13.0","0.0","0.0","42.2","0.0","3.1","0.0","0.0"
"10","0.0","0.0","19.1","0.0","0.5","15.0","0.0","3.0","0.0","0.0","0.0","0.0"
"11","0.0","0.0","T","18.0","0.0","111.5","6.5","0.0","0.0","0.0","0.0","0.0"
"12","0.0","0.0","0.0","0.1","0.0","29.6","16.5","0.1","0.0","0.0","0.0","0.0"
"13","0.0","T","0.0","2.5","0.0","36.0","0.0","0.0","0.0","0.0","0.0","0.0"
"14","0.0","0.0","0.0","3.5","0.0","57.5","2.5","0.0","0.0","0.7","0.8","0.0"
"15","0.0","0.0","7.0","3.1","0.0","0.0","0.0","0.0","15.7","T","0.0","0.0"
"16","14.0","0.0","T","25.1","0.1","0.0","0.0","0.3","2.7","0.3","0.0","0.0"
"17","4.5","0.0","1.3","0.0","63.0","0.1","1.5","0.0","0.5","0.0","0.0","0.0"
"18","0.0","1.3","0.1","0.0","1.0","0.0","12.0","18.5","2.5","0.0","T","0.1"
"19","0.0","1.1","0.0","8.1","0.0","0.0","14.5","7.5","0.7","0.9","0.8","0.0"
"20","1.0","0.0","0.0","6.4","77.4","0.0","11.5","0.2","21.0","0.0","0.2","7.9"
"21","3.2","0.3","0.0","33.0","0.0","0.0","8.0","70.5","28.5","0.0","3.9","0.4"
"22","0.2","4.0","T","8.4","0.0","3.5","120.7","0.0","0.0","0.0","2.9","0.0"
"23","0.0","3.0","4.1","0.0","4.0","57.1","20.4","0.3","0.0","0.0","0.1","0.0"
"24","0.0","53.4","7.0","0.0","0.0","7.0","2.0","9.1","0.0","0.0","0.0","0.0"
"25","0.0","0.6","19.9","0.0","0.0","38.5","0.0","0.2","0.0","0.0","2.9","0.0"
"26","0.0","0.0","0.0","0.0","0.0","11.5","77.0","0.0","1.9","0.0","0.0","0.0"
"27","0.0","T","0.0","T","30.5","30.5","7.5","0.0","22.0","0.0","0.0","0.0"
"28","0.0","0.0","0.0","T","53.5","0.0","0.0","0.0","101.5","0.0","0.5","0.0"
"29","0.0","--","14.5","0.0","0.0","0.0","0.0","0.0","38.5","2.1","1.0","15.5"
"30","0.0","--","3.5","0.0","0.7","0.0","0.0","20.5","79.0","0.0","0.3","16.0"
"31","0.0","--","0.1","--","0.0","--","0.0","0.0","--","4.8","--","0.0"
"總和","45.0","64.1","184.2","115.1","335.8","419.5","439.3","212.4","377.1","27.1","13.8","136.2"
