
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","0.0","2.3","11.9","0.0","0.0","18.0","0.0","39.6","0.0","0.5","1.2"
"02","0.0","0.0","0.0","0.0","0.4","163.0","0.0","101.0","10.5","0.0","0.0","2.7"
"03","0.6","0.0","0.0","0.0","0.4","159.5","29.5","4.0","52.5","0.2","14.1","0.4"
"04","0.0","0.0","T","0.0","0.0","17.5","7.5","21.5","0.1","7.8","1.2","0.0"
"05","0.0","T","0.0","0.0","3.8","0.1","0.0","0.0","0.0","0.0","0.0","1.1"
"06","0.4","0.0","25.8","T","0.0","0.0","0.0","0.0","0.0","0.7","0.5","1.1"
"07","0.2","0.0","9.6","0.2","0.0","0.0","17.0","0.0","0.0","4.1","0.0","22.1"
"08","T","0.0","2.0","0.0","0.0","T","3.0","0.0","31.8","11.0","T","7.9"
"09","0.0","3.5","1.3","0.0","3.2","0.0","35.6","0.0","1.8","0.0","0.3","3.5"
"10","0.0","0.0","32.5","0.0","0.0","4.5","19.7","0.0","0.0","0.1","0.0","0.0"
"11","0.0","0.0","1.5","17.0","0.0","8.3","3.0","0.1","0.0","7.7","1.4","0.0"
"12","0.1","0.0","0.0","15.1","6.2","22.5","0.0","0.0","5.0","118.2","1.5","10.0"
"13","6.3","0.0","14.2","7.0","9.5","35.5","0.0","0.0","23.1","77.9","29.5","0.2"
"14","8.5","0.0","5.9","T","0.0","62.6","0.0","0.0","11.2","84.0","2.3","0.0"
"15","1.5","0.0","0.0","0.0","42.0","48.0","0.0","0.0","0.0","32.5","0.0","0.0"
"16","0.5","0.0","19.0","0.0","32.5","33.0","0.0","0.0","0.0","0.0","0.0","0.4"
"17","0.0","0.0","2.0","0.0","6.0","62.0","0.0","T","0.0","1.9","0.0","0.7"
"18","T","T","0.9","0.3","0.0","19.0","0.0","0.0","0.0","4.6","2.8","2.5"
"19","0.1","0.0","3.1","12.1","3.8","1.0","0.0","1.5","0.0","9.7","15.0","5.5"
"20","1.8","1.0","0.0","1.0","1.0","0.0","0.0","0.0","0.0","2.0","11.0","0.0"
"21","0.0","0.0","0.0","27.5","T","0.2","0.0","3.3","0.0","3.5","5.9","0.0"
"22","0.0","21.1","1.2","11.5","0.0","0.0","0.0","0.5","0.0","0.0","5.0","0.0"
"23","0.0","0.6","4.0","0.0","0.0","0.0","24.2","1.7","0.0","0.0","3.5","0.0"
"24","0.0","44.2","0.0","1.9","10.7","0.0","0.0","7.6","0.0","0.2","0.5","0.0"
"25","T","37.0","25.5","T","1.0","0.0","0.0","0.0","0.0","0.0","23.0","0.0"
"26","0.0","15.5","12.4","0.5","T","0.0","T","0.0","0.0","0.0","1.8","0.0"
"27","T","0.0","0.0","15.5","12.5","0.0","0.0","24.0","0.0","0.1","1.1","0.0"
"28","1.8","0.8","0.0","0.0","0.0","0.0","5.4","0.0","T","0.5","0.0","0.3"
"29","0.0","--","0.0","0.0","0.0","0.0","38.2","0.0","T","1.0","0.0","4.2"
"30","T","--","0.0","0.0","2.3","13.0","T","0.0","0.0","0.4","T","1.8"
"31","0.0","--","19.5","--","0.2","--","5.5","1.0","--","0.5","--","1.3"
"總和","21.8","123.7","182.7","121.5","135.5","649.7","206.6","166.2","175.6","368.6","120.9","66.9"
