
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","16.5 / 2016/01/01 01:31:00","11.7 / 2016/02/01 22:49:00","12.8 / 2016/03/01 00:16:00","18.2 / 2016/04/01 00:19:00","21.0 / 2016/05/01 05:31:00","28.8 / 2016/06/01 04:35:00","27.2 / 2016/07/01 04:31:00","27.2 / 2016/08/01 02:27:00","25.1 / 2016/09/01 05:47:00","27.2 / 2016/10/01 03:53:00","20.8 / 2016/11/01 18:04:00","18.7 / 2016/12/01 16:37:00"
"02","17.2 / 2016/01/02 05:50:00","11.5 / 2016/02/02 00:58:00","13.9 / 2016/03/02 04:53:00","19.2 / 2016/04/02 05:53:00","22.2 / 2016/05/02 03:26:00","25.9 / 2016/06/02 11:23:00","25.9 / 2016/07/02 15:29:00","28.1 / 2016/08/02 22:42:00","26.0 / 2016/09/02 18:19:00","26.2 / 2016/10/02 06:06:00","19.2 / 2016/11/02 05:16:00","18.8 / 2016/12/02 05:01:00"
"03","18.3 / 2016/01/03 03:52:00","12.7 / 2016/02/03 00:01:00","14.1 / 2016/03/03 05:15:00","21.1 / 2016/04/03 05:36:00","24.7 / 2016/05/03 04:15:00","25.9 / 2016/06/03 01:18:00","24.8 / 2016/07/03 17:31:00","27.0 / 2016/08/03 04:23:00","26.1 / 2016/09/03 04:09:00","25.6 / 2016/10/03 06:34:00","19.5 / 2016/11/03 03:51:00","19.0 / 2016/12/03 00:02:00"
"04","18.7 / 2016/01/04 01:04:00","14.6 / 2016/02/04 06:10:00","15.9 / 2016/03/04 06:26:00","21.4 / 2016/04/04 19:43:00","24.7 / 2016/05/04 02:41:00","27.6 / 2016/06/04 05:27:00","25.9 / 2016/07/04 04:43:00","27.3 / 2016/08/04 05:43:00","27.1 / 2016/09/04 05:58:00","25.5 / 2016/10/04 04:36:00","20.9 / 2016/11/04 09:23:00","21.2 / 2016/12/04 05:29:00"
"05","19.0 / 2016/01/05 02:57:00","13.4 / 2016/02/05 21:33:00","17.5 / 2016/03/05 05:46:00","21.4 / 2016/04/05 00:02:00","24.3 / 2016/05/05 18:29:00","24.6 / 2016/06/05 17:01:00","27.4 / 2016/07/05 05:40:00","27.9 / 2016/08/05 05:37:00","27.5 / 2016/09/05 01:30:00","26.0 / 2016/10/05 03:12:00","19.8 / 2016/11/05 03:20:00","21.2 / 2016/12/05 23:34:00"
"06","17.1 / 2016/01/06 23:45:00","9.4 / 2016/02/06 23:52:00","19.1 / 2016/03/06 05:50:00","21.3 / 2016/04/06 05:26:00","23.7 / 2016/05/06 05:06:00","24.7 / 2016/06/06 03:20:00","29.1 / 2016/07/06 23:56:00","28.5 / 2016/08/06 23:59:00","25.4 / 2016/09/06 23:51:00","25.7 / 2016/10/06 00:35:00","19.8 / 2016/11/06 05:14:00","19.4 / 2016/12/06 13:16:00"
"07","16.8 / 2016/01/07 22:01:00","8.1 / 2016/02/07 06:30:00","18.8 / 2016/03/07 01:35:00","23.0 / 2016/04/07 06:07:00","26.3 / 2016/05/07 04:51:00","24.6 / 2016/06/07 06:19:00","27.2 / 2016/07/07 21:21:00","26.8 / 2016/08/07 10:30:00","25.3 / 2016/09/07 02:48:00","25.0 / 2016/10/07 22:59:00","23.2 / 2016/11/07 06:26:00","19.1 / 2016/12/07 07:36:00"
"08","15.9 / 2016/01/08 07:03:00","6.1 / 2016/02/08 05:35:00","20.5 / 2016/03/08 06:13:00","21.4 / 2016/04/08 17:00:00","25.3 / 2016/05/08 05:14:00","24.9 / 2016/06/08 05:01:00","26.8 / 2016/07/08 15:36:00","26.9 / 2016/08/08 04:04:00","26.9 / 2016/09/08 20:12:00","23.9 / 2016/10/08 23:19:00","19.8 / 2016/11/08 23:37:00","19.0 / 2016/12/08 05:34:00"
"09","14.4 / 2016/01/09 07:16:00","9.0 / 2016/02/09 03:52:00","14.7 / 2016/03/09 18:13:00","21.5 / 2016/04/09 01:36:00","25.2 / 2016/05/09 15:29:00","25.7 / 2016/06/09 15:21:00","27.0 / 2016/07/09 23:45:00","28.4 / 2016/08/09 16:21:00","25.3 / 2016/09/09 18:51:00","21.7 / 2016/10/09 21:43:00","18.6 / 2016/11/09 04:33:00","20.6 / 2016/12/09 05:31:00"
"10","15.7 / 2016/01/10 05:16:00","11.9 / 2016/02/10 06:11:00","11.2 / 2016/03/10 23:43:00","20.4 / 2016/04/10 01:24:00","23.6 / 2016/05/10 23:57:00","25.7 / 2016/06/10 05:00:00","25.6 / 2016/07/10 18:20:00","27.1 / 2016/08/10 20:41:00","24.8 / 2016/09/10 03:57:00","21.9 / 2016/10/10 02:26:00","18.7 / 2016/11/10 05:57:00","18.8 / 2016/12/10 23:59:00"
"11","16.4 / 2016/01/11 19:15:00","16.9 / 2016/02/11 08:02:00","11.1 / 2016/03/11 01:06:00","19.0 / 2016/04/11 06:16:00","19.9 / 2016/05/11 04:15:00","25.7 / 2016/06/11 02:38:00","25.6 / 2016/07/11 03:24:00","26.1 / 2016/08/11 07:02:00","25.0 / 2016/09/11 03:56:00","23.3 / 2016/10/11 04:09:00","19.6 / 2016/11/11 00:01:00","18.5 / 2016/12/11 02:06:00"
"12","14.5 / 2016/01/12 22:59:00","17.7 / 2016/02/12 06:58:00","12.3 / 2016/03/12 00:11:00","20.3 / 2016/04/12 02:00:00","22.2 / 2016/05/12 00:11:00","26.1 / 2016/06/12 05:05:00","25.9 / 2016/07/12 04:51:00","27.4 / 2016/08/12 04:22:00","25.8 / 2016/09/12 15:13:00","22.9 / 2016/10/12 19:27:00","21.8 / 2016/11/12 04:56:00","18.0 / 2016/12/12 06:20:00"
