
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","12.2 / 2015/01/01 18:05:00","13.4 / 2015/02/01 04:55:00","12.5 / 2015/03/01 18:27:00","22.9 / 2015/04/01 06:48:00","21.7 / 2015/05/01 05:07:00","26.6 / 2015/06/01 00:04:00","28.1 / 2015/07/01 06:15:00","25.6 / 2015/08/01 05:41:00","24.6 / 2015/09/01 03:47:00","26.4 / 2015/10/01 05:34:00","21.3 / 2015/11/01 18:28:00","20.6 / 2015/12/01 02:43:00"
"02","12.3 / 2015/01/02 00:01:00","15.9 / 2015/02/02 00:01:00","13.4 / 2015/03/02 02:38:00","22.6 / 2015/04/02 04:41:00","23.1 / 2015/05/02 00:03:00","26.0 / 2015/06/02 05:04:00","28.2 / 2015/07/02 06:55:00","26.7 / 2015/08/02 06:00:00","24.6 / 2015/09/02 05:28:00","23.3 / 2015/10/02 06:17:00","19.6 / 2015/11/02 14:08:00","19.0 / 2015/12/02 05:00:00"
"03","12.7 / 2015/01/03 03:30:00","15.8 / 2015/02/03 22:49:00","15.5 / 2015/03/03 23:50:00","22.9 / 2015/04/03 06:16:00","23.2 / 2015/05/03 23:59:59","26.3 / 2015/06/03 04:18:00","28.5 / 2015/07/03 05:04:00","25.8 / 2015/08/03 05:38:00","25.2 / 2015/09/03 04:46:00","26.6 / 2015/10/03 00:25:00","20.5 / 2015/11/03 00:56:00","16.6 / 2015/12/03 07:58:00"
"04","12.9 / 2015/01/04 05:31:00","14.1 / 2015/02/04 22:58:00","13.8 / 2015/03/04 04:36:00","24.5 / 2015/04/04 03:55:00","19.7 / 2015/05/04 04:52:00","26.5 / 2015/06/04 17:04:00","27.4 / 2015/07/04 19:19:00","26.2 / 2015/08/04 05:21:00","26.5 / 2015/09/04 04:54:00","27.0 / 2015/10/04 03:36:00","22.8 / 2015/11/04 04:39:00","16.1 / 2015/12/04 09:45:00"
"05","14.1 / 2015/01/05 04:07:00","11.4 / 2015/02/05 08:21:00","14.0 / 2015/03/05 01:59:00","23.6 / 2015/04/05 05:36:00","18.1 / 2015/05/05 04:11:00","25.8 / 2015/06/05 23:56:00","27.6 / 2015/07/05 00:02:00","26.0 / 2015/08/05 05:35:00","26.6 / 2015/09/05 04:11:00","26.8 / 2015/10/05 05:54:00","22.8 / 2015/11/05 05:52:00","16.6 / 2015/12/05 00:02:00"
"06","16.8 / 2015/01/06 00:44:00","10.5 / 2015/02/06 05:02:00","13.5 / 2015/03/06 07:41:00","21.6 / 2015/04/06 23:59:00","20.6 / 2015/05/06 00:28:00","25.0 / 2015/06/06 05:02:00","30.0 / 2015/07/06 23:50:00","25.7 / 2015/08/06 05:31:00","26.4 / 2015/09/06 21:28:00","26.1 / 2015/10/06 22:24:00","25.7 / 2015/11/06 00:58:00","17.1 / 2015/12/06 23:33:00"
"07","13.3 / 2015/01/07 22:25:00","12.4 / 2015/02/07 05:20:00","15.2 / 2015/03/07 05:20:00","15.8 / 2015/04/07 23:50:00","22.6 / 2015/05/07 03:19:00","25.1 / 2015/06/07 15:59:00","28.3 / 2015/07/07 05:23:00","27.1 / 2015/08/07 21:16:00","23.8 / 2015/09/07 08:22:00","25.2 / 2015/10/07 05:33:00","24.7 / 2015/11/07 05:39:00","17.0 / 2015/12/07 00:14:00"
"08","12.2 / 2015/01/08 07:01:00","11.5 / 2015/02/08 20:00:00","16.3 / 2015/03/08 00:03:00","14.7 / 2015/04/08 20:04:00","22.9 / 2015/05/08 00:02:00","24.6 / 2015/06/08 04:24:00","30.1 / 2015/07/08 20:56:00","23.9 / 2015/08/08 05:27:00","23.7 / 2015/09/08 05:51:00","24.4 / 2015/10/08 23:48:00","23.7 / 2015/11/08 05:42:00","18.3 / 2015/12/08 06:27:00"
"09","14.1 / 2015/01/09 00:02:00","9.8 / 2015/02/09 06:03:00","15.2 / 2015/03/09 19:48:00","14.8 / 2015/04/09 00:12:00","21.9 / 2015/05/09 20:29:00","25.7 / 2015/06/09 05:22:00","26.5 / 2015/07/09 07:43:00","25.4 / 2015/08/09 04:25:00","24.5 / 2015/09/09 23:51:00","21.9 / 2015/10/09 20:31:00","21.6 / 2015/11/09 22:42:00","20.5 / 2015/12/09 00:01:00"
"10","15.2 / 2015/01/10 02:28:00","11.8 / 2015/02/10 00:07:00","11.4 / 2015/03/10 23:13:00","15.5 / 2015/04/10 23:12:00","22.1 / 2015/05/10 00:01:00","26.7 / 2015/06/10 04:06:00","25.3 / 2015/07/10 20:44:00","26.2 / 2015/08/10 04:42:00","23.3 / 2015/09/10 05:36:00","22.5 / 2015/10/10 01:25:00","20.4 / 2015/11/10 19:22:00","18.1 / 2015/12/10 07:16:00"
