
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","16.8 / 2023/01/01 00:01:00","12.4 / 2023/02/01 05:14:00","16.5 / 2023/03/01 02:28:00","17.5 / 2023/04/01 04:32:00","19.6 / 2023/05/01 00:46:00","25.1 / 2023/06/01 02:45:00","25.7 / 2023/07/01 04:16:00","25.3 / 2023/08/01 05:02:00","26.3 / 2023/09/01 04:23:00","26.1 / 2023/10/01 16:18:00","22.6 / 2023/11/01 00:01:00","15.4 / 2023/12/01 20:58:00"
"02","16.6 / 2023/01/02 23:08:00","16.3 / 2023/02/02 20:14:00","15.0 / 2023/03/02 22:48:00","18.4 / 2023/04/02 00:21:00","22.4 / 2023/05/02 00:40:00","25.7 / 2023/06/02 03:53:00","26.3 / 2023/07/02 05:14:00","25.5 / 2023/08/02 02:30:00","26.3 / 2023/09/02 07:15:00","25.1 / 2023/10/02 23:29:00","23.7 / 2023/11/02 04:09:00","15.9 / 2023/12/02 02:38:00"
"03","14.4 / 2023/01/03 23:18:00","16.5 / 2023/02/03 19:36:00","14.6 / 2023/03/03 03:14:00","19.2 / 2023/04/03 01:49:00","24.0 / 2023/05/03 05:30:00","27.1 / 2023/06/03 04:55:00","26.5 / 2023/07/03 03:14:00","25.8 / 2023/08/03 03:23:00","26.9 / 2023/09/03 00:05:00","23.9 / 2023/10/03 03:53:00","22.4 / 2023/11/03 05:30:00","18.5 / 2023/12/03 00:01:00"
"04","14.5 / 2023/01/04 00:01:00","16.3 / 2023/02/04 06:12:00","15.5 / 2023/03/04 23:59:59","22.4 / 2023/04/04 02:40:00","25.0 / 2023/05/04 06:13:00","24.1 / 2023/06/04 23:46:00","26.8 / 2023/07/04 05:29:00","28.8 / 2023/08/04 01:28:00","27.0 / 2023/09/04 00:46:00","25.4 / 2023/10/04 00:54:00","22.7 / 2023/11/04 06:07:00","18.7 / 2023/12/04 05:28:00"
"05","17.2 / 2023/01/05 06:46:00","16.5 / 2023/02/05 23:57:00","12.6 / 2023/03/05 06:00:00","21.2 / 2023/04/05 05:16:00","26.1 / 2023/05/05 06:10:00","24.0 / 2023/06/05 00:20:00","27.8 / 2023/07/05 05:26:00","28.5 / 2023/08/05 07:18:00","27.7 / 2023/09/05 23:44:00","25.0 / 2023/10/05 03:47:00","23.5 / 2023/11/05 06:18:00","18.7 / 2023/12/05 02:57:00"
"06","17.6 / 2023/01/06 22:17:00","15.2 / 2023/02/06 04:36:00","13.5 / 2023/03/06 06:34:00","20.9 / 2023/04/06 02:27:00","26.1 / 2023/05/06 05:38:00","26.4 / 2023/06/06 05:12:00","28.1 / 2023/07/06 05:51:00","28.5 / 2023/08/06 07:09:00","24.2 / 2023/09/06 20:53:00","26.3 / 2023/10/06 23:28:00","21.9 / 2023/11/06 23:37:00","16.7 / 2023/12/06 23:04:00"
"07","17.2 / 2023/01/07 06:48:00","17.3 / 2023/02/07 04:36:00","16.1 / 2023/03/07 04:51:00","16.5 / 2023/04/07 07:33:00","19.4 / 2023/05/07 21:58:00","26.3 / 2023/06/07 05:03:00","28.6 / 2023/07/07 05:35:00","29.2 / 2023/08/07 05:11:00","24.5 / 2023/09/07 03:25:00","24.9 / 2023/10/07 23:22:00","21.9 / 2023/11/07 00:01:00","14.9 / 2023/12/07 05:40:00"
"08","17.1 / 2023/01/08 00:16:00","17.7 / 2023/02/08 01:30:00","15.9 / 2023/03/08 06:23:00","17.0 / 2023/04/08 23:07:00","18.6 / 2023/05/08 05:36:00","27.2 / 2023/06/08 05:00:00","29.2 / 2023/07/08 02:21:00","29.4 / 2023/08/08 06:25:00","24.9 / 2023/09/08 13:56:00","24.4 / 2023/10/08 06:31:00","22.9 / 2023/11/08 04:51:00","17.2 / 2023/12/08 06:00:00"
"09","18.1 / 2023/01/09 22:25:00","16.8 / 2023/02/09 07:25:00","17.1 / 2023/03/09 06:28:00","16.9 / 2023/04/09 02:46:00","20.0 / 2023/05/09 01:24:00","25.2 / 2023/06/09 05:13:00","28.7 / 2023/07/09 05:32:00","29.2 / 2023/08/09 05:58:00","23.7 / 2023/09/09 04:48:00","24.3 / 2023/10/09 23:49:00","23.1 / 2023/11/09 06:00:00","17.9 / 2023/12/09 03:29:00"
"10","17.5 / 2023/01/10 07:02:00","17.0 / 2023/02/10 00:10:00","16.5 / 2023/03/10 04:56:00","18.6 / 2023/04/10 05:49:00","19.6 / 2023/05/10 04:29:00","24.8 / 2023/06/10 22:02:00","28.4 / 2023/07/10 05:26:00","25.2 / 2023/08/10 16:25:00","23.1 / 2023/09/10 05:20:00","23.3 / 2023/10/10 05:02:00","22.6 / 2023/11/10 23:25:00","19.7 / 2023/12/10 02:05:00"
"11","19.1 / 2023/01/11 04:29:00","17.8 / 2023/02/11 00:01:00","19.6 / 2023/03/11 03:06:00","20.7 / 2023/04/11 05:17:00","21.4 / 2023/05/11 00:26:00","24.7 / 2023/06/11 01:26:00","24.8 / 2023/07/11 16:01:00","25.7 / 2023/08/11 21:30:00","23.5 / 2023/09/11 05:49:00","22.7 / 2023/10/11 03:03:00","21.4 / 2023/11/11 23:45:00","21.7 / 2023/12/11 03:58:00"
"12","18.8 / 2023/01/12 06:49:00","17.3 / 2023/02/12 06:38:00","14.9 / 2023/03/12 23:58:00","20.9 / 2023/04/12 05:24:00","22.3 / 2023/05/12 05:09:00","25.3 / 2023/06/12 23:59:59","26.5 / 2023/07/12 12:47:00","24.9 / 2023/08/12 03:23:00","24.9 / 2023/09/12 05:24:00","23.4 / 2023/10/12 00:01:00","18.8 / 2023/11/12 23:26:00","18.3 / 2023/12/12 23:45:00"
"13","18.5 / 2023/01/13 05:37:00","16.0 / 2023/02/13 23:27:00","13.8 / 2023/03/13 04:19:00","22.6 / 2023/04/13 00:01:00","21.7 / 2023/05/13 11:27:00","24.4 / 2023/06/13 03:49:00","27.3 / 2023/07/13 05:12:00","26.3 / 2023/08/13 05:30:00","26.0 / 2023/09/13 04:53:00","23.8 / 2023/10/13 22:41:00","17.4 / 2023/11/13 13:04:00","18.1 / 2023/12/13 01:37:00"
"14","20.5 / 2023/01/14 05:28:00","12.8 / 2023/02/14 23:34:00","14.7 / 2023/03/14 01:07:00","22.4 / 2023/04/14 05:31:00","21.5 / 2023/05/14 04:23:00","24.9 / 2023/06/14 23:01:00","28.2 / 2023/07/14 05:33:00","26.9 / 2023/08/14 04:59:00","25.7 / 2023/09/14 05:35:00","23.3 / 2023/10/14 14:11:00","18.2 / 2023/11/14 00:14:00","19.3 / 2023/12/14 05:49:00"
"15","12.6 / 2023/01/15 22:53:00","11.8 / 2023/02/15 05:24:00","15.8 / 2023/03/15 05:26:00","20.2 / 2023/04/15 23:28:00","21.5 / 2023/05/15 04:28:00","22.9 / 2023/06/15 04:18:00","29.0 / 2023/07/15 05:38:00","27.7 / 2023/08/15 05:09:00","26.2 / 2023/09/15 04:33:00","22.9 / 2023/10/15 05:55:00","18.9 / 2023/11/15 00:07:00","20.4 / 2023/12/15 04:19:00"
"16","12.4 / 2023/01/16 08:12:00","13.3 / 2023/02/16 04:40:00","19.4 / 2023/03/16 00:01:00","18.4 / 2023/04/16 05:21:00","23.1 / 2023/05/16 04:23:00","24.7 / 2023/06/16 00:01:00","30.0 / 2023/07/16 05:46:00","24.3 / 2023/08/16 11:02:00","25.9 / 2023/09/16 05:46:00","23.5 / 2023/10/16 00:09:00","16.5 / 2023/11/16 23:57:00","12.8 / 2023/12/16 23:23:00"
"17","13.2 / 2023/01/17 00:14:00","16.1 / 2023/02/17 06:07:00","19.3 / 2023/03/17 23:56:00","20.8 / 2023/04/17 05:44:00","24.4 / 2023/05/17 05:25:00","24.9 / 2023/06/17 04:57:00","29.0 / 2023/07/17 05:34:00","25.5 / 2023/08/17 21:56:00","26.4 / 2023/09/17 05:57:00","23.3 / 2023/10/17 04:07:00","13.4 / 2023/11/17 23:58:00","12.0 / 2023/12/17 03:22:00"
"18","13.4 / 2023/01/18 06:26:00","15.6 / 2023/02/18 03:27:00","17.6 / 2023/03/18 18:30:00","22.4 / 2023/04/18 04:48:00","24.9 / 2023/05/18 05:25:00","26.0 / 2023/06/18 05:20:00","27.1 / 2023/07/18 17:12:00","23.8 / 2023/08/18 05:05:00","26.3 / 2023/09/18 05:53:00","24.7 / 2023/10/18 06:09:00","12.4 / 2023/11/18 05:16:00","15.1 / 2023/12/18 00:03:00"
"19","13.9 / 2023/01/19 01:46:00","15.5 / 2023/02/19 05:45:00","18.1 / 2023/03/19 00:01:00","22.3 / 2023/04/19 21:42:00","23.3 / 2023/05/19 16:50:00","26.6 / 2023/06/19 04:49:00","27.0 / 2023/07/19 05:19:00","25.4 / 2023/08/19 04:34:00","26.1 / 2023/09/19 05:02:00","24.2 / 2023/10/19 05:01:00","13.3 / 2023/11/19 05:34:00","16.5 / 2023/12/19 20:11:00"
"20","14.9 / 2023/01/20 20:52:00","14.4 / 2023/02/20 05:59:00","19.0 / 2023/03/20 07:17:00","22.0 / 2023/04/20 23:34:00","22.5 / 2023/05/20 08:20:00","27.0 / 2023/06/20 05:10:00","26.5 / 2023/07/20 23:36:00","25.4 / 2023/08/20 23:33:00","27.4 / 2023/09/20 06:10:00","21.8 / 2023/10/20 23:04:00","18.4 / 2023/11/20 01:25:00","14.1 / 2023/12/20 23:42:00"
"21","15.1 / 2023/01/21 00:01:00","12.6 / 2023/02/21 19:14:00","20.6 / 2023/03/21 00:45:00","19.8 / 2023/04/21 05:09:00","24.1 / 2023/05/21 04:59:00","27.6 / 2023/06/21 05:36:00","25.9 / 2023/07/21 04:33:00","24.7 / 2023/08/21 03:42:00","27.1 / 2023/09/21 06:27:00","21.3 / 2023/10/21 22:30:00","20.5 / 2023/11/21 02:56:00","10.0 / 2023/12/21 23:50:00"
"22","16.1 / 2023/01/22 02:08:00","13.2 / 2023/02/22 00:01:00","22.4 / 2023/03/22 05:49:00","20.1 / 2023/04/22 01:42:00","20.5 / 2023/05/22 22:51:00","28.4 / 2023/06/22 05:15:00","26.7 / 2023/07/22 02:21:00","23.7 / 2023/08/22 15:39:00","27.8 / 2023/09/22 05:52:00","21.9 / 2023/10/22 03:58:00","20.4 / 2023/11/22 06:32:00","9.6 / 2023/12/22 01:12:00"
