
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","15.5 / 2018/01/01 00:01:00","10.6 / 2018/02/01 04:30:00","14.9 / 2018/03/01 04:23:00","21.2 / 2018/04/01 04:46:00","24.3 / 2018/05/01 04:47:00","22.2 / 2018/06/01 21:01:00","26.2 / 2018/07/01 04:21:00","29.1 / 2018/08/01 04:39:00","24.6 / 2018/09/01 16:09:00","22.8 / 2018/10/01 05:56:00","18.8 / 2018/11/01 00:01:00","19.2 / 2018/12/01 05:14:00"
"02","17.8 / 2018/01/02 00:57:00","10.8 / 2018/02/02 23:54:00","19.2 / 2018/03/02 23:59:59","20.4 / 2018/04/02 06:02:00","24.6 / 2018/05/02 05:09:00","22.9 / 2018/06/02 00:12:00","28.5 / 2018/07/02 02:35:00","29.2 / 2018/08/02 04:03:00","24.5 / 2018/09/02 03:28:00","22.3 / 2018/10/02 05:44:00","19.7 / 2018/11/02 00:01:00","20.3 / 2018/12/02 06:09:00"
"03","19.8 / 2018/01/03 05:53:00","8.7 / 2018/02/03 23:09:00","18.6 / 2018/03/03 03:56:00","21.5 / 2018/04/03 05:54:00","20.0 / 2018/05/03 13:38:00","25.2 / 2018/06/03 00:01:00","27.6 / 2018/07/03 05:00:00","25.6 / 2018/08/03 16:38:00","25.2 / 2018/09/03 04:50:00","21.3 / 2018/10/03 05:38:00","21.9 / 2018/11/03 00:11:00","19.0 / 2018/12/03 06:15:00"
"04","18.3 / 2018/01/04 23:58:00","8.5 / 2018/02/04 23:15:00","20.9 / 2018/03/04 04:41:00","21.1 / 2018/04/04 04:43:00","21.7 / 2018/05/04 00:13:00","25.5 / 2018/06/04 03:59:00","29.4 / 2018/07/04 00:37:00","26.3 / 2018/08/04 01:46:00","26.3 / 2018/09/04 06:05:00","21.0 / 2018/10/04 22:50:00","23.0 / 2018/11/04 04:06:00","19.4 / 2018/12/04 05:53:00"
"05","16.4 / 2018/01/05 20:18:00","7.6 / 2018/02/05 05:07:00","16.3 / 2018/03/05 21:44:00","22.1 / 2018/04/05 05:55:00","23.5 / 2018/05/05 05:36:00","25.7 / 2018/06/05 23:03:00","27.8 / 2018/07/05 05:36:00","27.6 / 2018/08/05 02:47:00","26.5 / 2018/09/05 05:48:00","20.8 / 2018/10/05 00:35:00","22.2 / 2018/11/05 06:17:00","21.5 / 2018/12/05 06:32:00"
"06","16.4 / 2018/01/06 03:48:00","8.3 / 2018/02/06 02:35:00","16.0 / 2018/03/06 05:04:00","14.6 / 2018/04/06 23:01:00","23.6 / 2018/05/06 06:04:00","25.9 / 2018/06/06 00:12:00","26.9 / 2018/07/06 05:20:00","28.0 / 2018/08/06 05:07:00","26.8 / 2018/09/06 05:13:00","23.1 / 2018/10/06 23:17:00","23.0 / 2018/11/06 06:26:00","21.3 / 2018/12/06 03:24:00"
"07","17.1 / 2018/01/07 16:10:00","10.9 / 2018/02/07 03:32:00","16.7 / 2018/03/07 19:59:00","13.6 / 2018/04/07 07:04:00","25.6 / 2018/05/07 05:28:00","25.9 / 2018/06/07 03:43:00","25.9 / 2018/07/07 16:57:00","26.1 / 2018/08/07 04:25:00","26.1 / 2018/09/07 17:39:00","21.9 / 2018/10/07 05:10:00","23.5 / 2018/11/07 06:11:00","18.0 / 2018/12/07 16:23:00"
"08","13.3 / 2018/01/08 23:58:00","10.7 / 2018/02/08 06:36:00","11.4 / 2018/03/08 21:44:00","15.2 / 2018/04/08 02:28:00","22.2 / 2018/05/08 20:15:00","27.7 / 2018/06/08 23:59:59","25.5 / 2018/07/08 05:13:00","27.3 / 2018/08/08 05:44:00","23.8 / 2018/09/08 18:04:00","23.0 / 2018/10/08 05:19:00","22.7 / 2018/11/08 05:52:00","17.1 / 2018/12/08 07:06:00"
"09","10.4 / 2018/01/09 06:49:00","13.2 / 2018/02/09 00:01:00","11.4 / 2018/03/09 00:22:00","16.2 / 2018/04/09 05:22:00","21.8 / 2018/05/09 23:47:00","26.9 / 2018/06/09 04:52:00","26.7 / 2018/07/09 05:38:00","27.0 / 2018/08/09 05:28:00","22.6 / 2018/09/09 20:35:00","22.9 / 2018/10/09 08:03:00","21.8 / 2018/11/09 23:15:00","16.7 / 2018/12/09 05:17:00"
"10","10.1 / 2018/01/10 23:29:00","13.4 / 2018/02/10 23:51:00","11.0 / 2018/03/10 05:27:00","18.3 / 2018/04/10 05:37:00","21.2 / 2018/05/10 01:52:00","26.0 / 2018/06/10 19:29:00","26.6 / 2018/07/10 05:53:00","26.9 / 2018/08/10 05:38:00","22.8 / 2018/09/10 04:22:00","22.0 / 2018/10/10 23:21:00","21.9 / 2018/11/10 07:46:00","18.8 / 2018/12/10 00:01:00"
"11","9.6 / 2018/01/11 06:43:00","11.6 / 2018/02/11 05:49:00","14.9 / 2018/03/11 02:37:00","21.4 / 2018/04/11 03:33:00","22.5 / 2018/05/11 00:01:00","23.9 / 2018/06/11 23:46:00","24.9 / 2018/07/11 04:50:00","27.7 / 2018/08/11 05:31:00","25.3 / 2018/09/11 00:03:00","20.4 / 2018/10/11 23:18:00","21.2 / 2018/11/11 05:58:00","17.1 / 2018/12/11 23:51:00"
"12","8.6 / 2018/01/12 04:01:00","12.4 / 2018/02/12 06:02:00","14.9 / 2018/03/12 05:55:00","22.9 / 2018/04/12 18:17:00","22.6 / 2018/05/12 05:11:00","22.4 / 2018/06/12 05:00:00","26.8 / 2018/07/12 03:32:00","26.4 / 2018/08/12 11:52:00","26.8 / 2018/09/12 03:31:00","18.5 / 2018/10/12 22:13:00","22.5 / 2018/11/12 22:02:00","14.9 / 2018/12/12 20:21:00"
"13","8.9 / 2018/01/13 06:18:00","12.9 / 2018/02/13 01:42:00","15.9 / 2018/03/13 05:38:00","22.6 / 2018/04/13 04:54:00","24.3 / 2018/05/13 04:50:00","25.5 / 2018/06/13 23:41:00","28.5 / 2018/07/13 04:29:00","27.3 / 2018/08/13 05:46:00","26.7 / 2018/09/13 05:48:00","18.6 / 2018/10/13 00:31:00","20.5 / 2018/11/13 23:50:00","15.5 / 2018/12/13 00:01:00"
"14","11.0 / 2018/01/14 06:32:00","12.3 / 2018/02/14 06:24:00","18.0 / 2018/03/14 06:10:00","24.5 / 2018/04/14 05:09:00","25.5 / 2018/05/14 02:55:00","24.4 / 2018/06/14 23:10:00","28.5 / 2018/07/14 05:10:00","26.5 / 2018/08/14 19:41:00","27.7 / 2018/09/14 05:09:00","21.4 / 2018/10/14 03:35:00","20.4 / 2018/11/14 01:43:00","16.7 / 2018/12/14 00:02:00"
"15","14.1 / 2018/01/15 05:02:00","14.7 / 2018/02/15 03:34:00","19.3 / 2018/03/15 23:57:00","18.1 / 2018/04/15 19:14:00","25.4 / 2018/05/15 04:47:00","24.2 / 2018/06/15 05:31:00","28.3 / 2018/07/15 05:45:00","26.3 / 2018/08/15 01:12:00","26.5 / 2018/09/15 05:19:00","23.5 / 2018/10/15 04:01:00","20.9 / 2018/11/15 04:53:00","17.3 / 2018/12/15 01:53:00"
