日/月,1,2,3,4,5,6,7,8,9,10,11,12
01,15.7 ,13.9 ,17.6 ,15.2 ,20.0 ,25.6 ,28.4 ,28.7 ,29.1 ,23.8 ,23.1 ,17.8 
02,15.7 ,16.5 ,19.1 ,17.2 ,18.4 ,25.7 ,26.3 ,28.2 ,28.0 ,24.6 ,23.1 ,15.3 
03,17.1 ,16.5 ,16.7 ,18.8 ,18.6 ,25.9 ,25.7 ,27.2 ,28.5 ,25.1 ,23.0 ,15.3 
04,19.2 ,16.9 ,17.0 ,21.0 ,21.6 ,26.2 ,27.3 ,28.7 ,25.7 ,24.2 ,21.2 ,15.2 
05,18.8 ,16.8 ,16.4 ,20.1 ,22.3 ,25.7 ,27.3 ,28.3 ,25.0 ,24.2 ,20.9 ,14.8 
06,16.7 ,16.9 ,15.0 ,18.5 ,19.1 ,26.1 ,27.9 ,28.4 ,24.9 ,26.2 ,22.0 ,14.0 
07,17.7 ,17.2 ,12.1 ,21.2 ,17.9 ,27.5 ,27.8 ,28.0 ,26.7 ,25.8 ,21.7 ,13.1 
08,18.1 ,16.3 ,12.4 ,22.0 ,19.4 ,27.1 ,27.9 ,26.4 ,25.9 ,24.3 ,20.1 ,11.6 
09,16.8 ,15.0 ,16.4 ,23.1 ,20.0 ,26.6 ,27.5 ,26.4 ,24.5 ,24.0 ,19.3 ,15.4 
10,20.5 ,15.0 ,15.7 ,20.6 ,20.0 ,25.4 ,27.3 ,27.7 ,26.4 ,23.4 ,17.4 ,16.1 
11,20.4 ,15.6 ,15.8 ,18.5 ,21.5 ,23.2 ,28.0 ,28.4 ,28.3 ,21.9 ,17.1 ,17.9 
12,18.1 ,16.7 ,13.7 ,18.4 ,23.2 ,22.5 ,26.8 ,29.1 ,28.0 ,22.7 ,20.1 ,16.9 
13,17.9 ,17.9 ,16.3 ,18.8 ,24.8 ,22.6 ,25.9 ,27.6 ,27.8 ,24.7 ,19.4 ,18.0 
14,17.4 ,18.2 ,17.9 ,18.5 ,24.9 ,23.4 ,28.0 ,27.1 ,26.3 ,22.1 ,19.3 ,19.3 
15,18.2 ,18.6 ,15.3 ,17.7 ,24.7 ,22.3 ,27.5 ,29.1 ,24.5 ,22.2 ,19.3 ,19.6 
16,15.5 ,16.2 ,18.2 ,18.2 ,26.1 ,23.5 ,28.0 ,27.3 ,25.3 ,21.8 ,20.7 ,17.1 
17,14.8 ,15.0 ,17.3 ,19.6 ,24.5 ,26.0 ,28.3 ,28.8 ,24.4 ,22.1 ,19.1 ,18.0 
18,15.3 ,17.3 ,18.7 ,19.9 ,25.2 ,26.5 ,27.1 ,26.0 ,24.3 ,20.1 ,19.0 ,19.6 
19,14.9 ,16.4 ,19.5 ,22.0 ,26.4 ,27.0 ,26.5 ,25.5 ,23.4 ,21.4 ,17.1 ,17.5 
20,15.4 ,19.5 ,20.0 ,22.4 ,22.6 ,28.3 ,27.8 ,25.1 ,19.8 ,20.9 ,17.2 ,17.0 
21,14.3 ,19.6 ,22.3 ,22.8 ,21.9 ,27.9 ,26.2 ,25.7 ,19.8 ,21.6 ,18.7 ,18.7 
22,12.6 ,15.4 ,17.5 ,23.3 ,21.6 ,26.5 ,24.9 ,25.3 ,20.3 ,19.9 ,20.2 ,18.3 
23,11.9 ,13.7 ,14.0 ,24.6 ,21.4 ,24.6 ,24.8 ,28.0 ,21.7 ,22.1 ,21.8 ,18.3 
24,16.2 ,14.5 ,14.1 ,25.5 ,23.8 ,24.1 ,25.6 ,26.7 ,23.5 ,22.8 ,21.5 ,16.9 
25,15.4 ,15.8 ,17.3 ,25.8 ,26.1 ,24.6 ,27.0 ,27.6 ,23.5 ,22.2 ,19.0 ,18.4 
26,14.1 ,16.8 ,17.6 ,24.8 ,24.7 ,24.5 ,26.5 ,27.3 ,24.4 ,22.6 ,19.1 ,16.5 
27,14.3 ,17.3 ,18.5 ,22.6 ,24.9 ,25.2 ,26.4 ,27.2 ,24.1 ,23.0 ,19.6 ,14.6 
28,12.6 ,17.5 ,21.0 ,23.8 ,22.2 ,26.3 ,26.8 ,29.3 ,23.6 ,22.6 ,16.1 ,16.6 
29,17.2 ,-- ,19.0 ,23.3 ,22.3 ,27.9 ,27.2 ,28.7 ,24.6 ,21.5 ,16.0 ,18.1 
30,16.6 ,-- ,18.1 ,24.3 ,22.4 ,28.3 ,28.0 ,26.1 ,23.6 ,22.0 ,18.3 ,18.1 
31,15.0 ,-- ,16.4 ,-- ,24.8 ,-- ,28.3 ,27.4 ,-- ,22.1 ,-- ,13.8 
極端值,11.9 ,13.7 ,12.1 ,15.2 ,17.9 ,22.3 ,24.8 ,25.1 ,19.8 ,19.9 ,16.0 ,11.6 
