
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","0.0","0.0","0.0","0.0","32.0","0.0","1.0","0.0","21.5","T","T"
"02","0.0","T","10.0","0.0","0.0","5.0","0.0","8.0","8.0","0.0","T","T"
"03","0.0","0.0","0.5","0.0","T","0.0","0.0","0.5","0.0","0.0","T","0.0"
"04","4.0","0.0","1.5","0.0","0.0","156.0","0.0","2.5","23.0","0.0","0.5","0.0"
"05","0.5","0.0","0.5","0.0","5.5","23.5","0.0","1.0","0.0","T","0.0","T"
"06","1.5","0.0","33.5","0.0","0.0","7.5","2.0","15.5","3.5","0.0","0.0","18.0"
"07","6.5","0.0","1.5","0.0","0.0","T","T","132.0","0.0","0.0","0.0","1.5"
"08","4.0","T","T","T","T","0.0","0.0","2.0","0.0","0.0","23.0","0.0"
"09","0.0","T","T","0.5","0.0","T","0.0","13.0","0.0","0.0","T","0.0"
"10","T","5.5","T","0.0","0.0","5.5","0.0","63.5","0.0","T","T","T"
"11","14.5","23.5","0.0","0.0","0.0","T","0.0","4.5","1.5","91.0","0.0","0.0"
"12","3.5","4.0","0.0","0.0","T","T","3.5","T","87.5","29.5","5.5","2.0"
"13","0.0","4.0","0.0","T","0.0","T","7.0","72.0","0.0","10.0","13.5","3.5"
"14","0.0","T","T","T","0.0","0.0","0.0","40.5","0.0","0.5","T","0.0"
"15","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","17.5","0.0","0.0","0.0"
"16","T","1.5","0.0","0.0","0.0","0.0","0.0","T","18.5","4.0","T","0.0"
"17","T","3.5","0.0","T","0.0","0.0","0.0","0.0","22.0","T","T","T"
"18","0.0","0.0","0.0","0.0","0.0","0.0","0.0","T","0.0","T","0.5","T"
"19","0.0","0.0","0.0","T","T","0.0","0.0","15.0","0.0","0.0","0.5","0.0"
"20","0.0","0.0","0.0","0.0","0.0","0.0","2.5","0.0","0.0","0.0","4.5","T"
"21","0.0","0.0","0.0","0.0","6.0","0.0","23.5","22.5","0.0","27.5","0.0","15.0"
"22","T","0.0","9.5","T","0.0","52.0","38.0","0.0","0.0","21.0","2.0","8.0"
"23","0.5","0.0","T","T","0.0","13.5","59.0","0.0","0.0","7.5","2.0","T"
"24","0.0","T","20.5","0.0","7.0","6.0","87.5","10.0","0.0","29.5","0.0","1.0"
"25","0.0","0.0","0.0","T","0.0","15.5","0.5","5.5","T","2.0","T","2.0"
"26","1.0","T","0.0","T","0.0","0.0","0.0","0.0","0.0","0.0","5.0","T"
"27","T","4.5","0.0","1.0","0.0","0.0","T","0.0","0.0","0.0","11.0","3.0"
"28","5.0","T","0.0","19.0","T","0.0","10.0","0.0","0.0","0.0","0.0","0.0"
"29","0.0","--","0.0","39.5","3.5","T","9.0","0.0","0.0","T","0.0","T"
"30","0.0","--","T","0.0","47.0","0.0","0.5","0.0","0.0","1.0","2.0","0.0"
"31","0.0","--","T","--","50.5","--","45.0","0.0","--","T","--","T"
"總和","41.0","46.5","77.5","60.0","119.5","316.5","288.0","409.0","181.5","245.0","70.0","54.0"
