
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","0.0","11.5","1.5","7.5","3.5","56.0","0.0","0.0","0.0","6.0","0.0"
"02","0.0","0.0","7.5","0.5","9.5","43.5","16.5","0.0","0.0","14.5","T","0.0"
"03","5.0","T","T","0.0","0.0","0.5","T","0.0","0.0","22.0","0.0","T"
"04","0.0","T","0.0","4.5","T","T","0.0","0.0","0.0","6.0","T","0.0"
"05","0.0","1.0","0.0","T","T","25.5","0.0","T","0.0","1.0","T","0.0"
"06","0.0","T","3.0","1.0","0.0","6.0","9.0","0.0","0.0","0.0","T","0.0"
"07","0.0","16.0","11.5","4.0","0.0","T","2.0","T","24.5","14.5","T","T"
"08","T","13.0","0.0","19.5","0.0","0.0","51.0","T","0.0","23.0","T","T"
"09","2.5","12.5","T","1.0","0.0","16.0","23.5","17.5","0.0","0.5","0.5","T"
"10","T","0.0","T","5.5","0.0","0.0","34.0","8.5","1.5","T","0.0","T"
"11","0.0","0.0","23.0","0.0","0.0","T","T","3.0","0.0","0.0","1.5","0.0"
"12","0.0","0.0","2.0","0.0","16.0","0.0","0.0","13.5","0.0","0.0","6.5","T"
"13","0.0","0.0","0.0","0.0","14.0","0.0","T","0.5","5.5","0.0","6.5","T"
"14","0.0","0.0","T","T","0.5","1.5","0.0","16.5","33.0","0.0","T","T"
"15","4.5","0.0","0.5","0.0","0.0","T","0.0","31.0","0.0","T","T","0.0"
"16","T","0.0","0.0","T","0.0","7.5","2.5","0.0","0.0","2.0","T","0.0"
"17","0.0","T","0.0","T","0.0","0.5","0.0","T","T","T","1.0","0.0"
"18","0.0","0.0","0.0","76.0","0.0","11.5","0.0","T","15.5","0.0","4.0","T"
"19","0.0","0.0","4.5","1.0","0.0","9.5","0.0","43.0","37.0","0.5","6.5","2.5"
"20","T","0.0","0.0","5.0","T","T","0.0","35.0","0.0","0.5","3.5","0.5"
"21","9.0","0.0","0.0","0.0","23.5","17.0","0.0","2.0","60.0","T","5.5","0.5"
"22","0.5","0.0","0.0","0.5","0.5","5.0","T","0.0","192.0","4.0","T","0.0"
"23","11.0","T","1.0","2.0","3.5","59.0","32.0","51.0","13.0","9.5","0.0","13.0"
"24","0.0","0.0","0.0","46.5","4.5","60.5","88.5","0.0","5.0","8.0","0.0","5.5"
"25","2.5","T","0.0","10.5","T","24.5","30.5","0.0","3.0","11.5","T","T"
"26","0.0","T","2.0","29.5","4.0","2.0","10.0","0.0","T","T","4.0","T"
"27","0.5","T","0.0","0.5","14.5","0.0","T","0.0","10.5","T","0.0","T"
"28","0.5","T","T","1.0","6.5","44.5","0.0","0.0","10.5","0.5","0.0","T"
"29","1.5","0.5","0.0","0.0","T","1.0","0.0","46.0","5.0","0.5","0.0","0.0"
"30","T","--","2.5","4.5","0.0","T","T","0.0","10.5","35.0","0.0","0.0"
"31","0.0","--","35.0","--","T","--","22.0","0.0","--","258.0","--","0.0"
"總和","37.5","43.0","104.0","214.5","104.5","339.0","377.5","267.5","426.5","411.5","45.5","22.0"
