
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","0.0","2.0","0.0","2.4","0.2","0.0","0.0","24.2","0.0","1.2","0.0"
"02","0.0","0.0","T","0.0","1.3","0.0","0.0","0.0","0.0","58.8","T","0.0"
"03","0.0","3.5","T","0.0","1.1","0.0","0.0","0.0","T","0.0","0.7","0.0"
"04","0.0","3.0","1.0","0.0","39.6","0.9","1.3","0.0","T","0.0","1.0","0.2"
"05","0.0","4.0","1.5","0.0","41.3","0.0","0.0","17.2","0.0","0.0","0.0","T"
"06","0.0","1.0","4.5","T","T","29.9","0.0","1.5","4.0","0.0","0.0","11.7"
"07","0.0","T","0.5","0.0","0.0","3.2","0.0","16.2","32.1","0.0","0.0","0.0"
"08","0.0","3.5","T","2.0","0.5","0.0","0.0","306.7","2.0","0.9","0.0","T"
"09","0.0","0.5","0.0","5.0","4.0","0.0","22.2","4.0","0.0","47.0","0.0","9.4"
"10","0.0","0.0","11.5","9.6","0.0","0.0","91.0","0.0","0.0","0.2","0.0","28.5"
"11","0.0","0.0","36.5","21.2","0.9","0.0","0.0","16.2","0.0","2.7","8.6","T"
"12","1.5","0.0","10.5","4.6","61.9","0.0","14.6","2.2","0.0","T","0.0","2.8"
"13","2.0","0.0","0.0","0.0","0.0","T","0.0","30.5","0.3","0.0","0.0","0.0"
"14","5.0","0.0","0.0","0.0","0.0","65.8","0.0","12.8","2.0","0.0","0.0","T"
"15","0.0","4.0","0.0","0.0","0.0","T","0.0","0.0","0.0","0.0","0.0","T"
"16","0.0","10.5","0.0","0.0","T","0.0","0.0","4.8","13.5","0.0","0.0","0.0"
"17","T","0.0","0.0","0.0","0.0","0.0","0.0","0.2","0.0","0.0","0.0","0.0"
"18","0.0","0.0","0.0","12.9","0.0","0.0","0.0","91.5","0.0","1.1","0.0","0.0"
"19","0.0","0.0","0.0","8.7","0.0","0.0","53.0","0.0","0.0","0.0","T","T"
"20","0.0","0.0","0.0","12.1","59.2","0.0","3.9","0.0","0.0","0.1","2.4","0.0"
"21","0.5","T","0.0","11.4","1.5","55.0","0.0","1.9","0.7","1.7","5.3","0.1"
"22","0.0","2.5","0.0","T","17.0","0.1","2.5","4.0","0.0","11.3","0.0","0.0"
"23","0.0","0.0","48.5","0.0","21.5","50.0","68.0","23.0","0.0","7.5","0.2","0.0"
"24","0.0","55.5","2.0","0.0","28.5","43.2","0.5","2.0","1.6","4.0","0.0","0.1"
"25","0.0","0.0","31.0","0.0","5.6","0.0","0.0","25.4","0.0","0.0","3.0","5.9"
"26","1.0","0.0","14.5","0.0","9.4","0.0","0.0","8.0","0.6","0.0","T","T"
"27","10.0","2.0","18.0","0.0","0.1","0.0","6.0","70.5","18.0","0.0","0.0","12.5"
"28","T","0.0","0.0","T","0.0","0.0","45.0","59.0","203.9","0.0","0.0","3.0"
"29","0.0","--","0.0","0.1","0.0","0.0","4.5","10.7","6.5","T","0.0","0.0"
"30","0.0","--","0.0","0.0","0.0","0.0","4.3","9.9","0.5","0.0","0.2","1.5"
"31","0.0","--","0.0","--","7.0","--","0.0","10.0","--","T","--","T"
"總和","20.0","90.0","182.0","87.6","302.8","248.3","316.8","728.2","309.9","135.3","22.6","75.7"
