
"日/月","1","2","3","4","5","6","7","8","9","10","11","12"
"01","0.0","2.8","T","0.0","0.0","1.2","0.0","0.0","50.0","0.0","5.4","0.0"
"02","0.0","5.9","0.0","0.0","0.0","0.0","0.0","0.0","0.0","0.0","15.6","0.0"
"03","0.0","26.5","0.0","0.0","1.4","0.0","0.0","5.0","0.0","T","1.3","0.0"
"04","0.3","28.0","0.1","0.0","0.0","0.0","T","0.0","0.0","1.6","0.0","0.0"
"05","1.0","17.0","1.3","0.0","0.0","4.5","T","0.0","2.5","0.5","3.6","0.0"
"06","26.0","T","0.0","0.5","0.0","30.0","0.0","6.0","1.5","2.0","0.0","0.0"
"07","68.9","14.5","1.5","4.0","0.0","0.0","7.8","1.5","36.5","0.2","0.0","0.5"
"08","76.1","9.5","25.3","0.0","32.1","0.0","0.0","0.0","144.5","3.9","0.0","T"
"09","22.5","3.9","0.0","0.0","T","0.0","0.0","0.0","18.0","6.8","T","1.0"
"10","0.0","5.9","0.0","0.0","0.0","13.0","34.8","0.0","10.0","14.4","1.5","1.8"
"11","0.0","4.5","0.0","0.0","0.0","8.5","71.6","3.5","0.5","8.5","0.0","2.0"
"12","0.0","0.0","0.0","17.1","0.0","0.0","0.0","19.0","0.0","27.5","0.0","T"
"13","0.0","0.0","0.0","0.0","0.0","0.0","0.0","1.0","0.0","1.4","0.0","1.3"
"14","0.0","0.0","0.4","4.1","0.0","2.3","0.0","15.0","0.1","0.1","0.0","1.5"
"15","0.0","0.0","1.4","3.6","0.0","4.3","0.0","T","17.5","0.0","0.0","T"
"16","0.0","0.0","0.5","5.7","0.0","0.0","T","T","2.0","2.2","0.0","0.0"
"17","0.0","0.0","0.0","14.0","0.0","0.0","0.0","35.0","0.0","31.3","4.0","0.9"
"18","T","0.0","0.0","0.0","0.0","5.9","0.0","4.0","0.0","1.8","0.6","0.0"
"19","12.5","0.0","0.0","0.0","0.0","0.0","0.0","7.0","0.0","5.3","12.8","0.0"
"20","2.0","0.0","6.3","0.0","0.0","0.0","0.0","3.0","0.0","0.0","0.0","0.0"
"21","0.0","0.2","0.4","0.0","0.0","2.0","40.7","0.0","0.0","0.0","0.0","0.0"
"22","1.0","19.1","0.0","0.0","0.0","1.0","7.5","0.0","0.0","0.0","10.2","0.0"
"23","0.0","0.0","0.0","0.0","0.0","0.1","T","0.0","0.5","8.1","5.2","20.0"
"24","0.0","T","0.0","10.5","0.0","0.0","12.1","5.5","10.6","0.0","0.0","14.8"
"25","0.0","6.4","0.0","0.0","0.0","0.0","3.3","19.5","0.9","0.0","0.2","1.1"
"26","0.0","0.1","0.0","0.0","0.0","0.0","0.0","1.5","8.8","1.5","2.5","0.6"
"27","0.0","0.0","0.1","T","0.0","0.0","12.5","7.0","7.5","0.0","0.0","6.0"
"28","11.5","19.3","0.0","0.0","0.0","T","0.0","10.5","3.0","0.0","1.5","0.4"
"29","8.8","--","0.0","0.0","7.0","15.0","0.0","15.0","7.5","0.0","0.0","0.5"
"30","7.7","--","T","0.1","1.5","32.0","0.0","26.0","0.0","1.1","0.0","0.5"
"31","17.5","--","0.0","--","0.0","--","0.0","1.8","--","6.9","--","1.5"
"總和","255.8","163.6","37.3","59.6","42.0","119.8","190.3","186.8","321.9","125.1","64.4","54.4"
