日期,市場,產品,上價,中價,下價,平均價,增減%,交易量(公斤),增減%
104/02/18,109 台北一,LA1 甘藍 初秋 ,9.9,6.9,5.4,7.2,-27,"105,917",-61
104/02/24,109 台北一,LA1 甘藍 初秋 ,8.4,5.4,3.4,5.6,-22,"208,823",97
104/02/25,109 台北一,LA1 甘藍 初秋 ,9,5.5,3.5,5.8,4,"185,504",-11
104/02/26,109 台北一,LA1 甘藍 初秋 ,8.9,6.6,4.8,6.7,16,"206,017",11
104/02/28,109 台北一,LA1 甘藍 初秋 ,8.7,6.1,4.6,6.3,-6,"208,277",1
104/03/01,109 台北一,LA1 甘藍 初秋 ,8,5.8,4,5.9,-6,"213,703",3
104/03/03,109 台北一,LA1 甘藍 初秋 ,6.8,5,3.2,5,-15,"255,393",20
104/03/04,109 台北一,LA1 甘藍 初秋 ,7.6,5.5,3.5,5.5,10,"212,232",-17
104/03/05,109 台北一,LA1 甘藍 初秋 ,7.5,5.9,4.9,6,9,"230,377",9
104/03/06,109 台北一,LA1 甘藍 初秋 ,7.3,5.5,3.6,5.5,-8,"273,756",19
104/03/10,109 台北一,LA1 甘藍 初秋 ,8.2,6.5,5.3,6.6,20,"205,037",-25
104/03/11,109 台北一,LA1 甘藍 初秋 ,7.2,5.1,3.2,5.1,-23,"217,474",6
104/03/12,109 台北一,LA1 甘藍 初秋 ,6.9,4.7,3.1,4.8,-6,"210,586",-3
104/03/13,109 台北一,LA1 甘藍 初秋 ,7.2,4.9,2.8,5,4,"209,181",-1
104/03/14,109 台北一,LA1 甘藍 初秋 ,6.2,3.9,1.6,3.9,-22,"253,944",21
104/03/15,109 台北一,LA1 甘藍 初秋 ,6.5,3.8,1.8,3.9,0,"224,748",-11
104/03/17,109 台北一,LA1 甘藍 初秋 ,8,6.3,4.5,6.3,62,"156,676",-30
104/03/18,109 台北一,LA1 甘藍 初秋 ,7.4,4.6,2.4,4.7,-25,"179,995",15
104/03/19,109 台北一,LA1 甘藍 初秋 ,7.3,4.1,1.6,4.2,-11,"186,953",4
104/03/20,109 台北一,LA1 甘藍 初秋 ,6.8,3.2,1.7,3.6,-14,"190,150",2
104/03/21,109 台北一,LA1 甘藍 初秋 ,6.5,3.3,1.7,3.6,0,"196,792",3
104/03/22,109 台北一,LA1 甘藍 初秋 ,7.5,3.6,2.2,4.1,14,"182,521",-7
104/03/24,109 台北一,LA1 甘藍 初秋 ,10.4,7.1,4.9,7.3,78,"142,917",-22
104/03/25,109 台北一,LA1 甘藍 初秋 ,9.8,6.6,4.6,6.9,-5,"152,355",7
104/03/26,109 台北一,LA1 甘藍 初秋 ,9.7,6.4,4.7,6.7,-3,"175,206",15
104/03/27,109 台北一,LA1 甘藍 初秋 ,10.9,7.5,4.4,7.5,12,"180,855",3
104/03/28,109 台北一,LA1 甘藍 初秋 ,10.4,6.8,3.6,6.9,-8,"213,431",18
104/03/29,109 台北一,LA1 甘藍 初秋 ,18.8,13.7,9.9,13.9,101,"142,747",-33
104/03/31,109 台北一,LA1 甘藍 初秋 ,14,8.8,3.6,8.8,-37,"253,426",78
104/04/01,109 台北一,LA1 甘藍 初秋 ,15.1,9.5,3.6,9.5,8,"196,327",-23
104/04/02,109 台北一,LA1 甘藍 初秋 ,15.7,9.6,3.6,9.6,1,"183,976",-6
104/04/03,109 台北一,LA1 甘藍 初秋 ,15.6,8.2,2.4,8.5,-11,"251,002",36
104/04/04,109 台北一,LA1 甘藍 初秋 ,15.8,6.2,1.3,7.2,-15,"274,212",9
104/04/07,109 台北一,LA1 甘藍 初秋 ,16.2,10.5,3.4,10.2,42,"169,300",-38
104/04/08,109 台北一,LA1 甘藍 初秋 ,20.5,14.7,7.2,14.4,41,"126,383",-25
104/04/09,109 台北一,LA1 甘藍 初秋 ,18.2,11.6,3.7,11.3,-22,"171,236",35
104/04/10,109 台北一,LA1 甘藍 初秋 ,22.5,12.8,3.2,12.8,13,"154,813",-10
104/04/11,109 台北一,LA1 甘藍 初秋 ,27.9,19.1,5.8,18.2,42,"158,035",2
104/04/12,109 台北一,LA1 甘藍 初秋 ,27.8,18.2,7.1,17.9,-2,"173,191",10
104/04/14,109 台北一,LA1 甘藍 初秋 ,26.8,17,8.4,17.2,-4,"178,581",3
104/04/15,109 台北一,LA1 甘藍 初秋 ,24.9,15,6.2,15.2,-12,"170,538",-5
104/04/16,109 台北一,LA1 甘藍 初秋 ,24.9,15.4,7.4,15.7,3,"142,842",-16
104/04/17,109 台北一,LA1 甘藍 初秋 ,25,18.1,8.3,17.5,11,"140,556",-2
104/04/18,109 台北一,LA1 甘藍 初秋 ,20.7,13.9,6.2,13.7,-22,"204,996",46
104/04/19,109 台北一,LA1 甘藍 初秋 ,20.5,13.1,4.9,12.9,-6,"189,227",-8
104/04/21,109 台北一,LA1 甘藍 初秋 ,21.7,13.7,7.4,14,9,"150,709",-20
104/04/22,109 台北一,LA1 甘藍 初秋 ,22.4,18.3,12.8,18,29,"104,072",-31
104/04/23,109 台北一,LA1 甘藍 初秋 ,22.4,18.8,14.1,18.6,3,"114,302",10
104/04/24,109 台北一,LA1 甘藍 初秋 ,21.1,15.8,7.2,15.2,-18,"166,242",45
104/04/25,109 台北一,LA1 甘藍 初秋 ,24.4,17,7.8,16.6,9,"151,033",-9
104/04/26,109 台北一,LA1 甘藍 初秋 ,25.7,18,8.3,17.6,6,"162,204",7
104/04/28,109 台北一,LA1 甘藍 初秋 ,24.6,17,9.5,17,-3,"176,997",9
104/04/29,109 台北一,LA1 甘藍 初秋 ,21.6,15.2,5.7,14.6,-14,"159,251",-10
104/04/30,109 台北一,LA1 甘藍 初秋 ,22.1,16.2,8.4,15.8,8,"139,797",-12
104/05/01,109 台北一,LA1 甘藍 初秋 ,21.5,16.5,8.9,16,1,"135,113",-3
104/05/02,109 台北一,LA1 甘藍 初秋 ,21.4,16.6,10.3,16.3,2,"155,936",15
104/05/03,109 台北一,LA1 甘藍 初秋 ,23.1,19.5,13.5,19,17,"127,907",-18
104/05/05,109 台北一,LA1 甘藍 初秋 ,22.6,19.5,15.1,19.3,2,"138,653",8
104/05/06,109 台北一,LA1 甘藍 初秋 ,22.9,20.1,15.8,19.8,3,"121,650",-12
104/05/07,109 台北一,LA1 甘藍 初秋 ,25.4,22.8,18,22.3,13,"117,716",-3
104/05/08,109 台北一,LA1 甘藍 初秋 ,25.2,20.1,13,19.7,-12,"160,478",36
104/05/09,109 台北一,LA1 甘藍 初秋 ,25.9,20.1,11.8,19.6,-1,"151,077",-6
104/05/10,109 台北一,LA1 甘藍 初秋 ,26.9,20.5,10.2,19.7,1,"140,475",-7
104/05/12,109 台北一,LA1 甘藍 初秋 ,22.8,17.4,8.8,16.8,-15,"176,616",26
104/05/13,109 台北一,LA1 甘藍 初秋 ,21.3,16.6,9,16,-5,"153,742",-13
104/05/14,109 台北一,LA1 甘藍 初秋 ,19.1,14.3,6.3,13.6,-15,"178,034",16
104/05/15,109 台北一,LA1 甘藍 初秋 ,15.7,11.9,5.7,11.4,-16,"168,148",-6
104/05/16,109 台北一,LA1 甘藍 初秋 ,14.9,11.7,7,11.4,0,"161,426",-4
104/05/17,109 台北一,LA1 甘藍 初秋 ,16.8,14.6,10.9,14.3,25,"141,152",-13
104/05/19,109 台北一,LA1 甘藍 初秋 ,18.2,16,11.9,15.6,9,"163,482",16
104/05/20,109 台北一,LA1 甘藍 初秋 ,19.2,17.2,14.8,17.1,10,"169,159",3
104/05/21,109 台北一,LA1 甘藍 初秋 ,18.9,16.4,13.9,16.4,-4,"168,699",0
104/05/22,109 台北一,LA1 甘藍 初秋 ,18.3,14.5,11.6,14.7,-10,"182,809",8
104/05/23,109 台北一,LA1 甘藍 初秋 ,19.6,15.4,11.9,15.6,6,"173,405",-5
104/05/24,109 台北一,LA1 甘藍 初秋 ,17.2,12.6,4.2,11.9,-24,"224,788",30
104/05/26,109 台北一,LA1 甘藍 初秋 ,17.6,12.7,6.9,12.5,5,"213,675",-5
104/05/27,109 台北一,LA1 甘藍 初秋 ,15.7,11.7,7.1,11.6,-7,"192,567",-10
104/05/28,109 台北一,LA1 甘藍 初秋 ,17.3,11.6,6,11.6,0,"187,160",-3
104/05/29,109 台北一,LA1 甘藍 初秋 ,17.5,12.4,5.8,12.1,4,"190,234",2
104/05/30,109 台北一,LA1 甘藍 初秋 ,16.8,12.5,7.3,12.3,2,"198,187",4
104/05/31,109 台北一,LA1 甘藍 初秋 ,18.5,14.6,8.4,14.2,15,"178,888",-10
104/06/02,109 台北一,LA1 甘藍 初秋 ,20.6,16.7,11.8,16.5,16,"178,647",0
104/06/03,109 台北一,LA1 甘藍 初秋 ,18.1,14.5,8.8,14.1,-15,"211,428",18
104/06/04,109 台北一,LA1 甘藍 初秋 ,20.2,16.9,12.3,16.6,18,"153,140",-28
104/06/05,109 台北一,LA1 甘藍 初秋 ,18,14.7,10.8,14.6,-12,"199,956",31
104/06/06,109 台北一,LA1 甘藍 初秋 ,18.8,13.9,8.2,13.8,-5,"200,744",0
104/06/07,109 台北一,LA1 甘藍 初秋 ,20.1,16.1,11.2,15.9,15,"169,474",-16
104/06/09,109 台北一,LA1 甘藍 初秋 ,19.3,15.3,9,14.8,-7,"196,599",16
104/06/10,109 台北一,LA1 甘藍 初秋 ,18.7,14,8.7,13.9,-6,"185,361",-6
104/06/11,109 台北一,LA1 甘藍 初秋 ,17.9,13.4,8.5,13.3,-4,"201,636",9
104/06/12,109 台北一,LA1 甘藍 初秋 ,18.1,13.3,8.3,13.3,0,"191,418",-5
104/06/13,109 台北一,LA1 甘藍 初秋 ,19.4,14.8,10.4,14.9,12,"171,349",-10
104/06/14,109 台北一,LA1 甘藍 初秋 ,20.4,16.8,11.9,16.5,11,"149,227",-13
104/06/16,109 台北一,LA1 甘藍 初秋 ,21.3,17,12.6,17,3,"161,285",8
104/06/17,109 台北一,LA1 甘藍 初秋 ,19.5,14.2,7.4,13.9,-18,"167,569",4
104/06/18,109 台北一,LA1 甘藍 初秋 ,20.7,15.1,6.9,14.6,5,"144,699",-14
104/06/19,109 台北一,LA1 甘藍 初秋 ,23.2,18.3,8.2,17.2,18,"145,024",0
104/06/20,109 台北一,LA1 甘藍 初秋 ,25.7,18.5,5.5,17.4,1,"156,475",8
104/06/23,109 台北一,LA1 甘藍 初秋 ,27.5,19.6,11,19.5,12,"117,521",-25
104/06/24,109 台北一,LA1 甘藍 初秋 ,25.4,20.1,11.9,19.5,0,"77,846",-34
104/06/25,109 台北一,LA1 甘藍 初秋 ,27.2,21.2,13.2,20.8,7,"73,941",-5
104/06/26,109 台北一,LA1 甘藍 初秋 ,26.9,20.6,14.9,20.7,0,"94,351",28
104/06/27,109 台北一,LA1 甘藍 初秋 ,26.3,21.1,14.7,20.8,0,"106,988",13
104/06/28,109 台北一,LA1 甘藍 初秋 ,26.2,18.7,13,19.1,-8,"120,166",12
104/06/30,109 台北一,LA1 甘藍 初秋 ,22.7,16.5,10.6,16.6,-13,"155,304",29
104/07/01,109 台北一,LA1 甘藍 初秋 ,23.1,15.9,8.8,15.9,-4,"109,021",-30
104/07/02,109 台北一,LA1 甘藍 初秋 ,21.1,14.4,6.7,14.2,-11,"128,104",18
104/07/03,109 台北一,LA1 甘藍 初秋 ,24.2,18.2,12,18.1,27,"98,411",-23
104/07/04,109 台北一,LA1 甘藍 初秋 ,24,20,15.1,19.8,9,"134,075",36
104/07/05,109 台北一,LA1 甘藍 初秋 ,28.1,23.7,18,23.4,18,"126,074",-6
104/07/07,109 台北一,LA1 甘藍 初秋 ,27.5,25,20.9,24.7,6,"160,943",28
104/07/08,109 台北一,LA1 甘藍 初秋 ,23.8,19.5,14.1,19.3,-22,"162,660",1
104/07/09,109 台北一,LA1 甘藍 初秋 ,23.7,21.2,16.6,20.8,8,"123,975",-24
104/07/10,109 台北一,LA1 甘藍 初秋 ,27.1,22.8,15,22.1,6,"107,680",-13
104/07/11,109 台北一,LA1 甘藍 初秋 ,27.9,21.1,14.3,21.1,-5,"109,859",2
104/07/12,109 台北一,LA1 甘藍 初秋 ,30,24.3,18.4,24.3,15,"68,528",-38
104/07/14,109 台北一,LA1 甘藍 初秋 ,24.8,18.4,10.7,18.1,-26,"148,240",116
104/07/15,109 台北一,LA1 甘藍 初秋 ,23,16,9.8,16.1,-11,"130,102",-12
104/07/16,109 台北一,LA1 甘藍 初秋 ,20.6,15.2,10.4,15.3,-5,"106,500",-18
104/07/17,109 台北一,LA1 甘藍 初秋 ,22.7,17.1,12.4,17.3,13,"111,662",5
104/07/18,109 台北一,LA1 甘藍 初秋 ,22.9,17.2,12.3,17.3,0,"133,016",19
104/07/19,109 台北一,LA1 甘藍 初秋 ,24.7,20.3,15.7,20.3,17,"106,046",-20
104/07/21,109 台北一,LA1 甘藍 初秋 ,26,22.3,16.6,21.9,8,"108,758",3
104/07/22,109 台北一,LA1 甘藍 初秋 ,26.6,22.8,16.5,22.3,2,"102,426",-6
104/07/23,109 台北一,LA1 甘藍 初秋 ,27,22.6,16.5,22.2,0,"103,822",1
104/07/24,109 台北一,LA1 甘藍 初秋 ,29.9,23.7,15.4,23.3,5,"80,667",-22
104/07/25,109 台北一,LA1 甘藍 初秋 ,30.4,24.2,17.1,24,3,"95,769",19
104/07/26,109 台北一,LA1 甘藍 初秋 ,33,26.2,16.9,25.7,7,"84,915",-11
104/07/28,109 台北一,LA1 甘藍 初秋 ,32.4,23.8,16.2,24,-7,"96,338",13
104/07/29,109 台北一,LA1 甘藍 初秋 ,30.2,21.7,11.5,21.3,-11,"102,786",7
104/07/30,109 台北一,LA1 甘藍 初秋 ,30.5,24,16.1,23.7,11,"74,780",-27
104/07/31,109 台北一,LA1 甘藍 初秋 ,32.5,27.2,18.7,26.6,12,"63,515",-15
104/08/01,109 台北一,LA1 甘藍 初秋 ,30.7,25.4,17.9,25,-6,"92,351",45
104/08/02,109 台北一,LA1 甘藍 初秋 ,32.6,27.6,21.5,27.4,10,"84,318",-9
104/08/04,109 台北一,LA1 甘藍 初秋 ,32.3,25.1,16.9,24.9,-9,"113,549",35
104/08/05,109 台北一,LA1 甘藍 初秋 ,44.3,39,28.3,37.9,52,"68,812",-39
104/08/06,109 台北一,LA1 甘藍 初秋 ,45.7,36.6,29.4,36.9,-3,"114,927",67
104/08/07,109 台北一,LA1 甘藍 初秋 ,45.2,38.3,26.2,37.3,1,"93,775",-18
104/08/08,109 台北一,LA1 甘藍 初秋 ,42.5,33.3,19.9,32.4,-13,"64,848",-31
104/08/09,109 台北一,LA1 甘藍 初秋 ,37.7,30,21.1,29.8,-8,"42,426",-35
104/08/11,109 台北一,LA1 甘藍 初秋 ,43.5,34.7,23.7,34.3,15,"56,765",34
104/08/12,109 台北一,LA1 甘藍 初秋 ,40.5,32.4,12.9,30.1,-12,"59,710",5
104/08/13,109 台北一,LA1 甘藍 初秋 ,41.7,29.7,17.6,29.7,-1,"51,016",-15
104/08/14,109 台北一,LA1 甘藍 初秋 ,43.6,34.8,19.8,33.5,13,"29,176",-43
104/08/15,109 台北一,LA1 甘藍 初秋 ,42.4,36.2,24.5,35.1,5,"54,131",86
104/08/16,109 台北一,LA1 甘藍 初秋 ,41.1,32.3,24.1,32.4,-8,"78,387",45
104/08/18,109 台北一,LA1 甘藍 初秋 ,45.3,33.6,23.6,33.9,5,"62,405",-20
104/08/19,109 台北一,LA1 甘藍 初秋 ,39.6,32.6,19.3,31.3,-8,"53,731",-14
104/08/20,109 台北一,LA1 甘藍 初秋 ,44.1,31.8,23,32.5,4,"61,114",14
104/08/21,109 台北一,LA1 甘藍 初秋 ,48,34.5,22.7,34.8,7,"56,690",-7
104/08/22,109 台北一,LA1 甘藍 初秋 ,45.5,36.1,21.2,35,1,"69,738",23
104/08/23,109 台北一,LA1 甘藍 初秋 ,49.4,40.2,26.5,39.3,12,"46,295",-34
104/08/25,109 台北一,LA1 甘藍 初秋 ,44.9,36.4,21.2,35.1,-11,"50,729",10
104/08/26,109 台北一,LA1 甘藍 初秋 ,44.7,36.3,23.7,35.4,1,"43,016",-15
104/08/27,109 台北一,LA1 甘藍 初秋 ,46.4,37.5,24.7,36.7,4,"61,862",44
104/08/28,109 台北一,LA1 甘藍 初秋 ,62,48.8,34.7,48.6,32,"59,227",-4
104/09/01,109 台北一,LA1 甘藍 初秋 ,46,33.1,17.5,32.6,-33,"82,858",40
104/09/02,109 台北一,LA1 甘藍 初秋 ,49.1,34.8,25,35.7,10,"57,052",-31
104/09/03,109 台北一,LA1 甘藍 初秋 ,52.1,44.6,26.5,42.5,19,"34,424",-40
104/09/04,109 台北一,LA1 甘藍 初秋 ,48.4,37.9,25.2,37.5,-12,"45,177",31
104/09/05,109 台北一,LA1 甘藍 初秋 ,48.4,35.6,18.7,34.8,-7,"61,649",36
104/09/06,109 台北一,LA1 甘藍 初秋 ,49.4,37.8,23.9,37.4,7,"41,723",-32
104/09/08,109 台北一,LA1 甘藍 初秋 ,52.4,40.9,26,40.2,7,"38,990",-7
104/09/09,109 台北一,LA1 甘藍 初秋 ,55.9,42.4,30.7,42.7,6,"27,211",-30
104/09/10,109 台北一,LA1 甘藍 初秋 ,54.7,46.2,35.2,45.7,7,"37,368",37
104/09/11,109 台北一,LA1 甘藍 初秋 ,56.6,49.7,33.8,47.9,5,"33,569",-10
104/09/12,109 台北一,LA1 甘藍 初秋 ,61.1,48.3,30.7,47.4,-1,"41,325",23
104/09/13,109 台北一,LA1 甘藍 初秋 ,59.2,49.7,35,48.7,3,"36,438",-12
104/09/15,109 台北一,LA1 甘藍 初秋 ,64.3,53.1,40.6,52.9,9,"32,800",-10
104/09/16,109 台北一,LA1 甘藍 初秋 ,66.9,57.8,42.2,56.5,7,"23,992",-27
104/09/17,109 台北一,LA1 甘藍 初秋 ,63.4,48.1,24,46.4,-18,"29,484",23
104/09/18,109 台北一,LA1 甘藍 初秋 ,62.3,45.8,33.2,46.6,0,"32,407",10
104/09/19,109 台北一,LA1 甘藍 初秋 ,60.5,48.6,36.2,48.5,4,"28,145",-13
104/09/20,109 台北一,LA1 甘藍 初秋 ,64,55.9,38.7,54.1,12,"24,020",-15
104/09/22,109 台北一,LA1 甘藍 初秋 ,61.3,50.3,39.9,50.4,-7,"30,403",27
104/09/23,109 台北一,LA1 甘藍 初秋 ,60,49.8,39.2,49.7,-1,"21,862",-28
104/09/24,109 台北一,LA1 甘藍 初秋 ,55.5,41,33.9,42.5,-14,"25,270",16
104/09/25,109 台北一,LA1 甘藍 初秋 ,56.3,45.6,27.4,44.1,4,"23,552",-7
104/09/26,109 台北一,LA1 甘藍 初秋 ,61.4,41.9,27.1,42.9,-3,"31,163",32
104/09/27,109 台北一,LA1 甘藍 初秋 ,67.1,59.3,47.4,58.5,36,"17,453",-44
104/09/30,109 台北一,LA1 甘藍 初秋 ,70.6,63.7,40.8,60.5,3,"6,266",-64
104/10/01,109 台北一,LA1 甘藍 初秋 ,68,58.3,37.9,56.2,-7,"12,568",101
104/10/02,109 台北一,LA1 甘藍 初秋 ,65.4,54.6,40.8,54,-4,"13,842",10
104/10/03,109 台北一,LA1 甘藍 初秋 ,54.5,36.5,27.2,38.2,-29,"51,418",271
104/10/04,109 台北一,LA1 甘藍 初秋 ,62.3,49.5,32,48.6,27,"27,713",-46
104/10/06,109 台北一,LA1 甘藍 初秋 ,58.3,42.9,33,44,-9,"35,179",27
104/10/07,109 台北一,LA1 甘藍 初秋 ,53.6,41.6,31.7,42,-5,"35,335",0
104/10/08,109 台北一,LA1 甘藍 初秋 ,57,45,29.4,44.3,5,"28,519",-19
104/10/09,109 台北一,LA1 甘藍 初秋 ,62.8,53.6,29.7,50.6,14,"17,786",-38
104/10/10,109 台北一,LA1 甘藍 初秋 ,69.3,61.9,42.5,59.5,18,"21,063",18
104/10/11,109 台北一,LA1 甘藍 初秋 ,70.4,59.2,37.5,57.1,-4,"27,177",29
104/10/13,109 台北一,LA1 甘藍 初秋 ,71.1,65.6,44.3,62.4,9,"18,779",-31
104/10/14,109 台北一,LA1 甘藍 初秋 ,72.3,60.8,40,58.9,-6,"23,108",23
104/10/15,109 台北一,LA1 甘藍 初秋 ,72.4,55.8,42.9,56.5,-4,"28,945",25
104/10/16,109 台北一,LA1 甘藍 初秋 ,64.7,50.9,35.3,50.5,-11,"29,106",1
104/10/17,109 台北一,LA1 甘藍 初秋 ,70.1,49.1,34,50.3,0,"52,474",80
104/10/18,109 台北一,LA1 甘藍 初秋 ,66.6,48.8,29.4,48.5,-4,"51,333",-2
104/10/20,109 台北一,LA1 甘藍 初秋 ,68.8,45.6,30.6,47.2,-3,"35,140",-32
104/10/21,109 台北一,LA1 甘藍 初秋 ,64.7,40.4,21.3,41.4,-12,"38,364",9
104/10/22,109 台北一,LA1 甘藍 初秋 ,54.9,28.9,8.8,30.1,-27,"52,116",36
104/10/23,109 台北一,LA1 甘藍 初秋 ,47.1,29,16.4,30.1,0,"48,494",-7
104/10/24,109 台北一,LA1 甘藍 初秋 ,47.6,29.1,12.8,29.6,-2,"52,933",9
104/10/25,109 台北一,LA1 甘藍 初秋 ,42,27.9,11.9,27.5,-7,"55,402",5
104/10/27,109 台北一,LA1 甘藍 初秋 ,48.7,32,11.8,31.3,14,"40,446",-27
104/10/28,109 台北一,LA1 甘藍 初秋 ,44.1,27.2,14.3,28,-11,"56,524",40
104/10/29,109 台北一,LA1 甘藍 初秋 ,43.5,28.7,15.9,29.1,4,"46,180",-18
104/10/30,109 台北一,LA1 甘藍 初秋 ,41.2,27.7,16.3,28.1,-3,"55,306",20
104/10/31,109 台北一,LA1 甘藍 初秋 ,46.5,32.2,21.6,32.9,17,"49,796",-10
104/11/01,109 台北一,LA1 甘藍 初秋 ,42,33.3,22.3,32.8,0,"59,675",20
104/11/03,109 台北一,LA1 甘藍 初秋 ,43.8,34.7,23.3,34.2,4,"60,079",1
104/11/04,109 台北一,LA1 甘藍 初秋 ,41.5,32.3,19.9,31.7,-7,"63,475",6
104/11/05,109 台北一,LA1 甘藍 初秋 ,40.8,29.2,18.9,29.4,-7,"53,448",-16
104/11/06,109 台北一,LA1 甘藍 初秋 ,41.3,29,17.6,29.2,-1,"48,407",-9
104/11/07,109 台北一,LA1 甘藍 初秋 ,40.5,26.9,12.1,26.6,-9,"61,723",28
104/11/08,109 台北一,LA1 甘藍 初秋 ,41.6,27.7,14,27.7,4,"72,044",17
104/11/10,109 台北一,LA1 甘藍 初秋 ,34.5,24.7,11.5,24,-13,"84,534",17
104/11/11,109 台北一,LA1 甘藍 初秋 ,34.9,21.7,10.2,22.1,-8,"98,026",16
104/11/12,109 台北一,LA1 甘藍 初秋 ,36.9,22.6,10.7,23.1,5,"75,248",-23
104/11/13,109 台北一,LA1 甘藍 初秋 ,37.2,24.9,14.6,25.3,10,"80,314",7
104/11/14,109 台北一,LA1 甘藍 初秋 ,33.7,22.3,12.6,22.6,-11,"101,271",26
104/11/15,109 台北一,LA1 甘藍 初秋 ,29.5,19.2,10,19.4,-14,"132,724",31
104/11/17,109 台北一,LA1 甘藍 初秋 ,25,13.9,6.5,14.6,-25,"131,478",-1
104/11/18,109 台北一,LA1 甘藍 初秋 ,30.4,16.8,9.9,18.1,24,"82,197",-37
104/11/19,109 台北一,LA1 甘藍 初秋 ,30.8,18.1,10.9,19.2,6,"78,648",-4
104/11/20,109 台北一,LA1 甘藍 初秋 ,26,14.7,7.4,15.5,-19,"119,948",53
