日期,市場,產品,上價,中價,下價,平均價,增減%,交易量(公斤),增減%
104/01/01,109 台北一,LA1 甘藍 初秋 ,21.4,16.8,13.4,17,8,"130,088",-10
104/01/02,109 台北一,LA1 甘藍 初秋 ,23.5,18.7,14.5,18.8,11,"144,529",11
104/01/03,109 台北一,LA1 甘藍 初秋 ,24.8,18.6,13.7,18.9,1,"172,339",19
104/01/04,109 台北一,LA1 甘藍 初秋 ,23.5,17.8,13.4,18.1,-4,"186,495",8
104/01/06,109 台北一,LA1 甘藍 初秋 ,20.2,15.4,12.9,15.8,-13,"206,088",11
104/01/07,109 台北一,LA1 甘藍 初秋 ,19.6,15.4,12,15.6,-1,"168,269",-18
104/01/08,109 台北一,LA1 甘藍 初秋 ,19.4,16.4,13.1,16.4,5,"131,002",-22
104/01/09,109 台北一,LA1 甘藍 初秋 ,19.4,15.6,13.3,15.9,-3,"160,812",23
104/01/10,109 台北一,LA1 甘藍 初秋 ,22,17,13.9,17.4,9,"170,655",6
104/01/11,109 台北一,LA1 甘藍 初秋 ,20.9,17,14.1,17.2,-1,"178,050",4
104/01/13,109 台北一,LA1 甘藍 初秋 ,22.3,18.6,16.3,18.9,10,"156,819",-12
104/01/14,109 台北一,LA1 甘藍 初秋 ,19.7,15.9,13.5,16.2,-14,"177,559",13
104/01/15,109 台北一,LA1 甘藍 初秋 ,19.9,17.2,15,17.3,7,"140,694",-21
104/01/16,109 台北一,LA1 甘藍 初秋 ,17.2,14.1,10.7,14,-19,"209,990",49
104/01/17,109 台北一,LA1 甘藍 初秋 ,16.4,12.1,9,12.3,-12,"228,288",9
104/01/18,109 台北一,LA1 甘藍 初秋 ,15.7,11.7,8.7,11.9,-3,"206,320",-10
104/01/20,109 台北一,LA1 甘藍 初秋 ,15.1,11.6,9.5,11.9,0,"199,252",-3
104/01/21,109 台北一,LA1 甘藍 初秋 ,13.6,10.6,8.6,10.8,-9,"185,526",-7
104/01/22,109 台北一,LA1 甘藍 初秋 ,12.2,9,7.4,9.3,-14,"203,173",10
104/01/23,109 台北一,LA1 甘藍 初秋 ,10.3,6.5,4.8,6.9,-26,"240,340",18
104/01/24,109 台北一,LA1 甘藍 初秋 ,11.1,8.4,6.6,8.6,25,"172,159",-28
104/01/25,109 台北一,LA1 甘藍 初秋 ,12.2,8.6,7,9,5,"172,025",0
104/01/27,109 台北一,LA1 甘藍 初秋 ,11.8,8.6,7.2,8.9,-1,"179,129",4
104/01/28,109 台北一,LA1 甘藍 初秋 ,10.8,7.4,5.7,7.7,-13,"178,893",0
104/01/29,109 台北一,LA1 甘藍 初秋 ,10,7,4.8,7.2,-6,"189,307",6
104/01/30,109 台北一,LA1 甘藍 初秋 ,9.9,7,5.7,7.3,1,"175,281",-7
104/01/31,109 台北一,LA1 甘藍 初秋 ,7.9,5,3.5,5.2,-29,"254,596",45
104/02/01,109 台北一,LA1 甘藍 初秋 ,8.4,5.4,3.9,5.7,10,"210,979",-17
104/02/03,109 台北一,LA1 甘藍 初秋 ,8.7,5.6,4.8,6,5,"213,346",1
104/02/04,109 台北一,LA1 甘藍 初秋 ,8,5.1,4,5.4,-10,"199,181",-7
104/02/05,109 台北一,LA1 甘藍 初秋 ,7.9,5.2,4,5.5,2,"170,488",-14
104/02/06,109 台北一,LA1 甘藍 初秋 ,7.1,5.1,4.2,5.3,-4,"195,970",15
104/02/07,109 台北一,LA1 甘藍 初秋 ,7,4.9,3.7,5.1,-4,"217,718",11
104/02/08,109 台北一,LA1 甘藍 初秋 ,8.1,6.3,4.8,6.4,25,"152,480",-30
104/02/10,109 台北一,LA1 甘藍 初秋 ,9.3,7.1,6.2,7.4,16,"194,235",27
104/02/11,109 台北一,LA1 甘藍 初秋 ,9,6.8,5.9,7.1,-4,"200,843",3
104/02/12,109 台北一,LA1 甘藍 初秋 ,8.8,6.3,5.3,6.6,-7,"215,597",7
104/02/13,109 台北一,LA1 甘藍 初秋 ,7.1,5.4,4,5.5,-17,"233,961",9
104/02/14,109 台北一,LA1 甘藍 初秋 ,7.7,5.7,4,5.8,5,"236,053",1
104/02/15,109 台北一,LA1 甘藍 初秋 ,9.2,6.1,4.4,6.4,10,"232,779",-1
104/02/16,109 台北一,LA1 甘藍 初秋 ,9,6.2,3.7,6.3,-2,"235,237",1
104/02/17,109 台北一,LA1 甘藍 初秋 ,13,9.7,6.8,9.8,56,"271,443",15
